key,problem,area,character,size_class,people,elapsed_days,person_days,on_task_fraction,fraction_basis,pages,record_type,assisted,used_in_fit,span_start,span_end,span_evidence,source
erdos1026,Erdos problem 1026,combinatorics,construction,short,6,2,12,0.25,pointed,,direct,ai,no,2025-12-06,2025-12-08,"Tao: all key inputs assembled within 48 hours; individual contributions timed at within hours / less than an hour after that / approximately an hour of run time",https://terrytao.wordpress.com/2025/12/08/the-story-of-erdos-problem-1026/
capset-ellenberg,Cap set problem,combinatorics,short argument,short,1,10,10,0.35,assumed,4,direct,no,yes,2016-05-05,2016-05-15,"Croot-Lev-Pach posted 5 May 2016; Kalai blog post announcing Ellenberg's solution dated 15 May 2016; Quanta: within 10 days",https://arxiv.org/abs/1605.09223
kahn-kalai,Kahn-Kalai conjecture,combinatorics,short argument,short,2,8,16,0.50,pointed,8,direct,no,yes,2022-03-23,2022-03-31,"Quanta: over the course of a single sleepless night in March they figured out how to make the proof work; one week after their sleepless night they posted",https://arxiv.org/abs/2203.17207
royen-gci,Gaussian correlation inequality,analysis,short argument,short,1,19,19,0.35,pointed,7,direct,no,yes,2014-07-17,2014-08-05,"Quanta: on the morning of 17 July 2014 the proof came to him; by evening he had written a first draft; by early August the paper was finished. arXiv v1 5 Aug 2014",https://arxiv.org/abs/1408.1028
gilmer-unionclosed,Union-closed sets constant bound,combinatorics,short argument,short,1,31,31,0.15,pointed,9,direct,no,yes,2022-10-16,2022-11-16,"Quanta: Gilmer worked on the problem at night after finishing his work at Google and on weekends throughout the second half of October and early November; on November 16 he posted",https://arxiv.org/abs/2211.09055
huang-sensitivity,Sensitivity conjecture,combinatorics,short argument,short,1,30,30,0.25,assumed,6,direct,no,yes,2019-06-01,2019-07-01,"Quanta: the idea came while writing a grant proposal in a Madrid hotel last month (article 25 Jul 2019); arXiv v1 1 Jul 2019. The seven prior years of on-and-off attempts are excluded by the conditional-on-success rule",https://arxiv.org/abs/1907.00847
tao-discrepancy,Erdos discrepancy problem,number theory,structural theorem,medium,1,8,8,0.50,assumed,29,direct,no,yes,2015-09-09,2015-09-17,"Tao blog 6 Sep 2015 on Matomaki-Radziwill; Stroinski's comment suggesting the application dated 9 Sep 2015; arXiv v1 17 Sep 2015",https://arxiv.org/abs/1509.05363
sphere24,Sphere packing in dimension 24,geometry,structural theorem,medium,5,7,35,0.80,pointed,17,direct,no,yes,2016-03-14,2016-03-21,"Radchenko interview: we then completed the paper in one week of very intense work; at peak moments our team exchanged about ten emails every hour. Viazovska dim-8 arXiv 14 Mar 2016; dim-24 arXiv 21 Mar 2016",https://www.mpim-bonn.mpg.de/node/6742
erdos548-riordan-scott,Erdos-Sos conjecture (Erdos 548),combinatorics,short argument,short,2,8,16,0.40,assumed,,timeline,no,yes,2026-09-06,2026-09-14,"FME submission repositories pushed 6 Sep 2026; Riordan-Scott arXiv 2609.15893 v1 14 Sep 2026",https://arxiv.org/abs/2609.15893
erdos52-sumproduct,Sum-product conjecture false (Erdos 52),combinatorics,counterexample,medium,4,7,28,0.35,assumed,25,timeline,ai,yes,2026-05-20,2026-05-27,"erdosproblems wiki records the 20 May 2026 AI disproof of Erdos 90 as the inspiration; arXiv 2605.28781 v1 27 May 2026",https://arxiv.org/abs/2605.28781
