model,company,total_B,total_low_B,total_high_B,active_B,active_low_B,active_high_B,source,source_type,date,method,corroboration
GPT-3 (davinci),OpenAI,174.6,—,—,174.6,—,—,"OpenAI, Language Models are Few-Shot Learners, Table D.1",disclosure,2020-05-28,"Stated in the paper; dense, so active equals total",Exact. Epoch records 1.746e11 at Confident
text-davinci-002 (InstructGPT 175B),OpenAI,175,—,—,175,—,—,"OpenAI, Training language models to follow instructions",disclosure,2022-01-27,"We train three model sizes (1.3B, 6B, and 175B parameters)",Exact for the size; residual doubt is which checkpoint the API alias serves
gpt-3.5-turbo,OpenAI,—,—,—,7,—,—,"Finlayson et al., arXiv 2403.09539",academic_measurement,2024-03-14,Softmax bottleneck: SVD of API logits measures d_model at 4096; 7B is then inferred from a dense rule of thumb the authors themselves flag as failing for MoE,The d_model measurement is uncontested; the 7B inference is contradicted by CODEFUSION 20B and by IKP 246B total
"gpt-3.5-turbo, ada, babbage",OpenAI,—,—,—,—,—,—,"Carlini et al., arXiv 2403.06634 (ICML 2024)",academic_measurement,2024-03-11,"Logit-subspace SVD attack recovers the embedding projection layer; confirms ada h=1024, babbage h=2048, and recovers gpt-3.5-turbo hidden dimension exactly","Corroborates the Finlayson method. The gpt-3.5-turbo value was withheld at OpenAI request and never published, so no parameter count follows"
gpt-3.5-turbo,OpenAI,—,—,—,20,—,—,"Microsoft CODEFUSION, arXiv 2310.17680 Table 1",withdrawn_paper,2023-10-26,Stated in a table with no derivation; the paper was withdrawn from arXiv,Epoch carries 20B at Likely while its own davinci-002 note says the paper was retracted because the authors did not know the parameter count
GPT-4,OpenAI,1800,—,—,280,220,280,"SemiAnalysis (Dylan Patel, Gerald Wong)",insider_leak,2023-07-10,"Reported architecture: 120 layers, 16 experts of about 111B, top-2 routing, 13T training tokens","Corroborated: 6 x 2.8e11 x 1.3e13 = 2.2e25 FLOP against Epoch independent 2.1e25 training compute. Contradicted by IKP, which reads 622B total, low by 2.9x"
GPT-4,OpenAI,1800,—,—,280,220,280,Epoch AI model database,database_entry,2023-2026,Records the SemiAnalysis leak at Likely confidence and quotes the 1.76T / 220B variant,Not independent of the SemiAnalysis row
GPT-4 Turbo,OpenAI,—,—,—,—,—,—,Epoch AI model database,non_estimate,2023-2026,Not known. Maybe smaller/sparser than GPT-4,"IKP contradicts the direction, reading Turbo at 1.05T above GPT-4 at 622B, which is IKP worst regime"
GPT-4o,OpenAI,200,100,400,50,—,—,"Epoch AI (Ege Erdil), Frontier language models have become much smaller, and How much energy does ChatGPT use",analyst_estimate,2024-12-13,"Inference economics: 100-150 tok/s at $10/Mtok output against GPT-4 Turbo 55 tok/s at $30/Mtok, giving about an eighth of GPT-4; active from a quarter-activation assumption applied to the 200B central",Self-stated error a factor of 2. Order of magnitude corroborated by IKP 392B total at 2024-era sparsity. Note the widely misread 100B active is the pessimistic case built on the 400B tail
GPT-4o,OpenAI,200,—,—,—,—,—,"Microsoft MEDEC, arXiv 2412.19260",literature_compilation,2024-12-26,Sizes mined from public articles only; authors cannot vouch for their accuracy,Not independent: this is Epoch own 200B read back out of the literature. Citing both double-counts one source
GPT-4o mini,OpenAI,8,—,—,—,—,—,"Microsoft MEDEC, arXiv 2412.19260",literature_compilation,2024-12-26,Same compilation and disclaimer,"Same 8B small-model guess that circulates everywhere; IKP reads 92B total, consistent at about 10x sparsity"
o1-preview,OpenAI,300,—,—,—,—,—,"Microsoft MEDEC, arXiv 2412.19260",literature_compilation,2024-12-26,Same compilation and disclaimer,One of only two MEDEC figures not traceable to a prior public estimate; no independent corroboration exists
o1-mini,OpenAI,100,—,—,—,—,—,"Microsoft MEDEC, arXiv 2412.19260",literature_compilation,2024-12-26,Same compilation and disclaimer,"Contradicted by Epoch 60-120B total for the mini reasoning line, which is derived rather than compiled"
"o1-mini, o3-mini, o4-mini",OpenAI,—,60,120,—,10,30,Epoch AI model database note,database_entry,2024-2026,Inference economics at 150-200 tok/s and $4.40/Mtok output,"The only active-parameter figure Epoch states for any closed OpenAI model. Corroborated by measured throughput (o3-mini 209 tok/s, o4-mini high 136) and by IKP 62B total for o3-mini"
GPT-4.5,OpenAI,6000,5000,7000,600,—,—,"Nathan Lambert, Interconnects",analyst_estimate,2025-02-28,5X parameters + 2X dataset size = 10X compute relative to GPT-4; author caveat that this is not based on leaked information and carries big error bars,"Consistent with Epoch 3.8e26 training compute inverted at a token-to-parameter ratio of 100, which gives 800B active. Nothing contradicts it"
