point_id,file,old_value,new_value,basis
game-chess-move-arena-o3,points.csv,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
game-chess-move-arena-gpt5,points.csv,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
game-chess-move-arena-grok4,points.csv,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
game-chess-move-arena-gemini25pro,points.csv,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
game-chess-move-arena-o4mini,points.csv,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
game-chess-move-arena-gpt41,points.csv,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
game-chess-move-arena-sonnet4,points.csv,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
game-chess-move-arena-opus4,points.csv,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
game-chess-move-arena-r1,points.csv,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
game-balrog-crafter-gemini25pro,points.csv,assumed,llm_estimate_judgment,"The Crafter human release publishes step counts and no durations; seconds come from a 5 fps rate the builder inferred from run_gui.py's default, so the builder's step set the number."
game-balrog-crafter-grok4,points.csv,assumed,llm_estimate_judgment,"The Crafter human release publishes step counts and no durations; seconds come from a 5 fps rate the builder inferred from run_gui.py's default, so the builder's step set the number."
game-balrog-crafter-gemini25flash,points.csv,assumed,llm_estimate_judgment,"The Crafter human release publishes step counts and no durations; seconds come from a 5 fps rate the builder inferred from run_gui.py's default, so the builder's step set the number."
game-balrog-crafter-gpt5minimal,points.csv,assumed,llm_estimate_judgment,"The Crafter human release publishes step counts and no durations; seconds come from a 5 fps rate the builder inferred from run_gui.py's default, so the builder's step set the number."
game-balrog-crafter-gemini3pro,points.csv,assumed,llm_estimate_judgment,"The Crafter human release publishes step counts and no durations; seconds come from a 5 fps rate the builder inferred from run_gui.py's default, so the builder's step set the number."
game-balrog-crafter-gemini3flash,points.csv,assumed,llm_estimate_judgment,"The Crafter human release publishes step counts and no durations; seconds come from a 5 fps rate the builder inferred from run_gui.py's default, so the builder's step set the number."
game-balrog-crafter-gemini31pro,points.csv,assumed,llm_estimate_judgment,"The Crafter human release publishes step counts and no durations; seconds come from a 5 fps rate the builder inferred from run_gui.py's default, so the builder's step set the number."
game-balrog-crafter-claudeopus45,points.csv,assumed,llm_estimate_judgment,"The Crafter human release publishes step counts and no durations; seconds come from a 5 fps rate the builder inferred from run_gui.py's default, so the builder's step set the number."
game-balrog-crafter-claudeopus45thinking,points.csv,assumed,llm_estimate_judgment,"The Crafter human release publishes step counts and no durations; seconds come from a 5 fps rate the builder inferred from run_gui.py's default, so the builder's step set the number."
