point_id,task,human_time,human_time_low,human_time_high,note,scenario_source,note_sentence
16x-clean-markdown-opus4,Implement a Markdown-cleaning function,600,420,1080,research/16x-eval/16x-eval.md,reargued_2026-09-16,"A fluent developer reads in 90 seconds, implements in 3.5 minutes and checks in two, 420 seconds; the whitespace error costs one extra implement-and-check cycle, 1,080 seconds."
16x-clean-markdown-sonnet4,Implement a Markdown-cleaning function,600,420,1080,research/16x-eval/16x-eval.md,reargued_2026-09-16,"A fluent developer reads in 90 seconds, implements in 3.5 minutes and checks in two, 420 seconds; the whitespace error costs one extra implement-and-check cycle, 1,080 seconds."
act_cup_episode,Open a condiment cup,11,8,14,research/new-sources/act.md,note_scenario,"Human duration remains the cross-task 8-14 s midpoint 11 s, not a measured task mean."
act_shoe_episode,Put a shoe on a mannequin,11,8,14,research/new-sources/act.md,note_scenario,"Human duration remains the cross-task 8-14 s midpoint 11 s, not a measured task mean."
admin-taxcalc2024-hoh-box12-flash,2024 federal return: two W-2s and Box 12 taxes,1080,480,1800,research/taxcalcbench/taxcalcbench.md,note_scenario,"For HOH, 18 active minutes, with an 8-30-minute scenario."
admin-taxcalc2024-hoh-box12-sonnet4,2024 federal return: two W-2s and Box 12 taxes,1080,480,1800,research/taxcalcbench/taxcalcbench.md,note_scenario,"For HOH, 18 active minutes, with an 8-30-minute scenario."
admin-taxcalc2024-single-w2-flash,2024 federal return: single filer with one W-2,600,360,960,research/taxcalcbench/taxcalcbench.md,reargued_2026-09-16,With the bracket table open the four entries and their checks plus two minutes on the facts come to six minutes; looking the brackets up and re-checking the empty fields adds ten.
admin-taxcalc2024-single-w2-sonnet4,2024 federal return: single filer with one W-2,600,360,960,research/taxcalcbench/taxcalcbench.md,reargued_2026-09-16,With the bracket table open the four entries and their checks plus two minutes on the facts come to six minutes; looking the brackets up and re-checking the empty fields adds ten.
agen-codexfer-codellama34b,Learn to write short Python functions (Code Llama 34B),540000,298800,936000,research/skill-acquisition-human-time.md,note_scenario,"Refitting the same curve with the first-course anchor at 39% instead of 19.5% — a fast cohort, the second course still multiplying by 2.15 — gives C = 1.710 × 10⁻³ and puts every endpoint and every increment at 0.53 of the central. Refitting at 11% gives C = 4.823 × 10⁻⁴ and 1.68 times the central."
agen-codexfer-codellama7b,Learn to write short Python functions (Code Llama 7B),468000,252000,792000,research/skill-acquisition-human-time.md,note_scenario,"Refitting the same curve with the first-course anchor at 39% instead of 19.5% — a fast cohort, the second course still multiplying by 2.15 — gives C = 1.710 × 10⁻³ and puts every endpoint and every increment at 0.53 of the central. Refitting at 11% gives C = 4.823 × 10⁻⁴ and 1.68 times the central."
