point_id,old_value,new_value,basis
lang-xfer-eu-latxa70b,assumed,llm_estimate_judgment,The note states the duration is the builder's own estimate with no measured timing donor and no source-published duration.
perc-imagenet-gpt4o,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
work-gdpval-b1a79ce1-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-43dc9778-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
reas-cf-o3,assumed,llm_estimate_judgment,The note states the duration is the builder's own estimate with no measured timing donor and no source-published duration.
act_cup_episode,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
act_shoe_episode,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
resnet50_imagenet_10crop,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
resnet152_imagenet_10crop,transferred_timings,llm_estimate_from_data,Former transferred_timings: the builder mapped recorded timings from another task or population onto this row; renamed mechanically under the five-value scheme.
whisper_tiny_en_clean30s,assumed,llm_estimate_judgment,The note states the duration is the builder's own estimate with no measured timing donor and no source-published duration.
whisper_large_v2_clean30s,assumed,llm_estimate_judgment,The note states the duration is the builder's own estimate with no measured timing donor and no source-published duration.
work-gdpval-0112fc9b-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0112fc9b-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-01d7e53e-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-01d7e53e-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-02314fc6-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-02314fc6-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-02aa1805-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-02aa1805-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0353ee0c-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0353ee0c-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0419f1c3-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-0419f1c3-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-045aba2e-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-045aba2e-opus5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
work-gdpval-05389f78-gpt5,assumed,llm_estimate_judgment,GDPval publishes no task durations and the notes state no inherited estimates were used; each value is the builder's own minute-by-minute decomposition of the inspected task prompt.
