point_id,task,task_category,task_description,model_id,compute_scope,compute_flops,compute_flops_low,compute_flops_high,human_skill,human_time_scope,human_time,human_time_low,human_time_high,performance_vs_human,comparison_issues,compute_evidence,human_time_evidence,performance_evidence,human_time_statistic,human_time_subset,human_attempts,human_time_source,compute_method,compute_statistic,compute_subset,ai_attempts,compute_source,tokens,tokens_accounting,source_dataset,source_record,notes,ai_cost_usd,ai_cost_basis,ai_cost_date,human_cost_usd,human_cost_basis,attention_context,attention_ratio,task_id,frontier
lang-xfer-eu-latxa70b,Learn to read written Basque (Latxa 70B),skill_acquisition,"Continue-pretrain Llama 2 70B into Latxa 70B, gaining intermediate reading comprehension of written Basque, starting from almost none.",latxa-70b-v1.1,additional_training,6163622947066776125440,,,typical,skill_acquisition,4320000,,,match,different_inputs_or_tools,derived_assumed_inputs,llm_estimate_judgment,"Llama 2 70B 24.1633% to Latxa 60.6113% accuracy. Human time targets the same ending accuracy; matched quality is part of the estimate, not an observed learner result.",point_estimate,not_applicable,not_applicable,research/skill-acquisition-human-time.md#lang-xfer-eu-latxa70b,operation_count,point_estimate,not_applicable,not_applicable,research/latxa/latxa.md#compute,10485760000,training,Latxa / EusProficiency,https://arxiv.org/html/2403.20266v1; https://github.com/hitz-zentroa/latxa/tree/7eccd872eb515104ee6e2f721c1f56fc63647a54; Latxa 70B v1.1 five-shot EusProficiency result,Human duration assumes a focused written-learning route; no measured learning curve maps hours to this score. Compute includes configured block recomputation and validation using a contemporaneous implementation proxy; final prompt identities are reconstructed.,,not_available,,,not_available,,,learn-to-read-written-basque-latxa-70b,yes
perc-imagenet-gpt4o,ImageNet top-1 classification,perception,"Label one photo with one of ImageNet's 1,000 object categories.",gpt-4o-2024-08-06,inference,39406386658836.484,33282616528896.008,51652434975129.61,expert,task_performance,26,26,64.8,below,different_inputs_or_tools; different_assessment,derived_assumed_inputs,llm_estimate_from_data,"GPT-4o top-1 accuracy 77.20%; trained human annotators 76.9%, 79.1%, 80.7%, 83.5% and 90.3% on the original ImageNet subset (mean 82.1%).",median,all,10000,research/imagenet.md; https://proceedings.mlr.press/v119/shankar20c/shankar20c.pdf section 4.3; https://proceedings.mlr.press/v119/shankar20c/shankar20c-supp.pdf section D,operation_count,point_estimate,not_applicable,not_applicable,research/imagenet.md; https://github.com/EPFL-VILAB/fm-vision-evals; research/attention-correction.md,122.4,input_output,FM Vision Evals / Evaluating Machine Accuracy on ImageNet,"performance: https://arxiv.org/html/2507.01955v1 Table 1; https://proceedings.mlr.press/v119/shankar20c/shankar20c-supp.pdf Table 4, All Images / Original; https://github.com/EPFL-VILAB/fm-vision-evals/blob/main/taskit/tasks/classify.py","Human median transferred from mixed ImageNet/ImageNetV2 labeling to the AI crop/setup. Humans used exemplars and a guide; their accuracy subset excludes problematic images. Three of five had reviewed evaluation images before a six-month gap. Compute assumes 120 text tokens, 256 projected visual positions and a 2B visual encoder per image, plus 2% retries. Timing donor: five trained labelers each labeling 2,000 images.",,not_available,,,not_available,61.2,0.0008094,imagenet-top-1-classification,no
work-gdpval-collection-gpt5,"GDPval gold set, average task",research_analysis,"Produce a professional deliverable — a document, spreadsheet, slide deck, diagram or media file — from a written brief and its reference files, drawn from 44 occupations across nine sectors.",gpt-5-high,inference,1.1375243402981715e+17,5.397351931679325e+16,2.4275127572883264e+17,expert,task_performance,34164,,,below,none_identified,derived_assumed_inputs,source_estimate,"Occupational experts preferred or tied GPT-5 high's deliverable in 38.8% of blinded paired comparisons against the experts' own deliverables across the 220 gold tasks, three model samples per prompt and three graders per sample; strict wins about 35%. The appendix states 39.0% for the same quantity. Human target: the expert deliverable.",mean,all,220,https://arxiv.org/html/2510.04374v1; Appendix A Table 5; research/gdpval/gdpval.md#human-time,params_tokens,mean,all,,research/gdpval/gdpval.md#gpt-5-compute; research/attention-correction.md,263867.7918424754,input_output,GDPval,https://huggingface.co/datasets/openai/gdpval; the 220 gold tasks; research/gdpval/gdpval.md#gpt-5-compute; performance: https://arxiv.org/html/2510.04374v1; Figure 5 and Appendix A.2.1 Table 2,"A collection row: both numbers are averages over the same 220 gold tasks, and the source publishes neither a per-task time nor a per-task token count, so the collection gets one row and its tasks get none. The paper gives two gold-set mean times, 9.49 h in Appendix Table 5 and 404 min in section A.2.1; Table 5 is used because it is the descriptive summary of the released 220 tasks and its seven-number summary is internally consistent, while the A.2.1 figure appears only inside the cost-advantage calculation, with a companion mean dollar value ($361 against Table 5's $398.46) that implies a different wage. Compute inverts the paper's 474x naive cost advantage on that $361 mean expert cost at launch prices, assuming a 4:1 input/output position ratio, and adds 10,000 assumed helper positions; compute and ai_cost_usd are therefore not independent. The run count behind the mean invoice is unstated: the paper reports three completions per prompt but does not say whether the mean is per completion or per task. Tasks span 44 occupations, research and analysis deliverables being the plurality.",0.762,reported,2025-09-25,,not_available,108500.0,1.155,gdpval-gold-set-average-task,no
work-gdpval-collection-opus5,"GDPval gold set, average task",research_analysis,"Produce a professional deliverable — a document, spreadsheet, slide deck, diagram or media file — from a written brief and its reference files, drawn from 44 occupations across nine sectors.",claude-opus-5-max,inference,1.3048035283613027e+17,6.851805428000404e+16,2.8793026183703114e+17,expert,task_performance,34164,,,above,different_assessment,derived_assumed_inputs,source_estimate,"An AI panel rated Claude Opus 5 at max effort 1735 Elo against the expert deliverables anchored at 1000 over the same 220 tasks, under anonymized pairwise comparison with Bradley-Terry scoring and half-credit ties. No human expert grading of these deliverables exists, so the comparison rests on a different assessment from the expert-graded GPT-5 figure. Human target: the expert deliverable.",mean,all,220,https://arxiv.org/html/2510.04374v1; Appendix A Table 5; research/gdpval/gdpval.md#human-time,params_tokens,total_per_completed_sample,all,220,research/gdpval/gdpval.md#opus-5-compute; https://artificialanalysis.ai/methodology/intelligence-benchmarking; research/attention-correction.md,290684.3683257959,input_cache_creation_output,GDPval / GDPval-AA v2,https://huggingface.co/datasets/openai/gdpval; the 220 gold tasks; research/gdpval/gdpval.md#opus-5-compute; performance: https://artificialanalysis.ai/evaluations/gdpval-aa; slug=claude-opus-5; GDPval-AA v2 judging and Bradley-Terry scoring,"A collection row: both numbers are averages over the same 220 gold tasks, and the source publishes neither a per-task time nor a per-task token count, so the collection gets one row and its tasks get none. Human time is Appendix Table 5's 9.49 h gold-set mean; section A.2.1 gives 404 min for the same quantity and the paper does not reconcile the two. Compute divides Artificial Analysis's four GDPval token totals by the 220 tasks, excludes cache reads, splits cache hits from creations using AA's live typical-model cache rate rather than GDPval's own logs, and adds 10,000 assumed helper positions. The AI-panel rating sits ahead of the expert deliverables on a grading protocol the expert graders never ran. Tasks span 44 occupations, research and analysis deliverables being the plurality.",6.5634,list_price,2026-09-12,,not_available,108500.0,1.244,gdpval-gold-set-average-task,yes
reas-cf-o3,Codeforces 1965D hard-problem solving,coding,"Solve a hard (2900-rated) competitive-programming problem, Codeforces' Missing Subarray Sum, and submit code that passes every test.",o3-codeforces-checkpoint,inference,2.3406819676871675e+18,9.771212935966719e+17,4.5843993351833595e+18,expert,task_performance,7200,4500,12600,match,different_inputs_or_tools,derived_assumed_inputs,llm_estimate_judgment,"Source reports 690 of 1162 unranked samples pass and the ranked configuration solves 1965D with zero failed submissions. Assumed human time targets the same accepted-code endpoint, not a measured human result.",point_estimate,not_applicable,not_applicable,"research/codeforces.md; original problem, setter solution and contest duration",params_tokens,point_estimate,not_applicable,not_applicable,research/codeforces.md#reas-cf-o3; research/attention-correction.md,20917162,input_output,Competitive Programming with Large Reasoning Models / Codeforces,https://arxiv.org/html/2502.06807v1 Appendix B Table 1 row 1965D; https://codeforces.com/problemset/problem/1965/D?locale=en,"All candidates including unsuccessful/unselected work counted. Candidate lengths, scorer workload and active parameters assumed. Human uses contest pretests versus AI full tests; no transfer of the 2724 model rating into a problem difficulty. The run used 1,162 generated candidates and learned ranking.",,not_available,,,not_available,9000.0,0.119,codeforces-1965d-hard-problem-solving,yes
dqn_pong_minute,Play Pong for one minute,games,Play one minute of Atari Pong.,dqn_2015_pong,inference,15981742080.0,,,expert,task_performance,60,,,match,none_identified,derived_supported_inputs,defined_duration,Figure 3 places Pong broadly at professional human tester level.,point_estimate,not_applicable,not_applicable,https://deepmind-media.storage.googleapis.com/dqn/DQNNaturePaper.pdf Methods evaluation; research/new-sources/dqn.md,operation_count,point_estimate,not_applicable,not_applicable,https://deepmind-media.storage.googleapis.com/dqn/DQNNaturePaper.pdf Methods architecture and frame skipping; research/new-sources/dqn.md,not_applicable,not_applicable,DQN Nature Atari evaluation,performance: https://deepmind-media.storage.googleapis.com/dqn/DQNNaturePaper.pdf Figure 3; evaluation epsilon=0.05,Performance concerns complete evaluation episodes; duration and compute are normalized to one minute of active play.,,not_available,,,not_available,,,play-pong-for-one-minute,yes
dqn_breakout_minute,Play Breakout for one minute,games,Play one minute of Atari Breakout.,dqn_2015_breakout,inference,15979991040.0,,,expert,task_performance,60,,,above,none_identified,derived_supported_inputs,defined_duration,Figure 3 and evaluation discussion place Breakout substantially above the professional human tester.,point_estimate,not_applicable,not_applicable,https://deepmind-media.storage.googleapis.com/dqn/DQNNaturePaper.pdf Methods evaluation; research/new-sources/dqn.md,operation_count,point_estimate,not_applicable,not_applicable,https://deepmind-media.storage.googleapis.com/dqn/DQNNaturePaper.pdf Methods architecture and frame skipping; research/new-sources/dqn.md,not_applicable,not_applicable,DQN Nature Atari evaluation,performance: https://deepmind-media.storage.googleapis.com/dqn/DQNNaturePaper.pdf Figure 3; evaluation epsilon=0.05,Performance concerns complete evaluation episodes; duration and compute are normalized to one minute of active play.,,not_available,,,not_available,,,play-breakout-for-one-minute,yes
act_cup_episode,Open a condiment cup,physical_tasks,"Using a robot arm, pick up and open a small condiment cup placed at a random spot along a line on the table.",act_aloha_2023,inference,127761069486497.95,,,expert,task_performance,11,8,14,below,different_attempt_selection,derived_assumed_inputs,llm_estimate_from_data,"ACT completes 84% of 25 evaluations; human reference is successful expert demonstrations, not an independently measured all-attempt success rate.",point_estimate,successful,350,https://arxiv.org/pdf/2304.13705 section V-B; research/new-sources/act.md,operation_count,point_estimate,not_applicable,not_applicable,https://arxiv.org/pdf/2304.13705 section IV-C and Table III; research/new-sources/act.md,not_applicable,not_applicable,ACT ALOHA fine manipulation,performance: https://arxiv.org/pdf/2304.13705 Figure 6 and Table II,"Human 11s is the midpoint of the cross-task 8–14s range, not a measured task mean. AI full-horizon estimate uses 800 calls for cup from the project 600–1000-step range, or 1000 calls for shoe from public configuration; these are transferred to paper performance. CNN workload is area-scaled. Human successful demonstrations versus all-outcome analytic AI attempt. Timing donor: 350 retained demonstrations across six real-robot tasks; resets and operator mistakes are outside the demonstration duration.",,not_available,,,not_available,,,open-a-condiment-cup,no
act_shoe_episode,Put a shoe on a mannequin,physical_tasks,"Using a robot arm, put a velcro-strap shoe onto a mannequin's foot, seat the heel and fasten the strap.",act_aloha_2023,inference,159701336858122.44,,,expert,task_performance,11,8,14,match,different_attempt_selection,derived_assumed_inputs,llm_estimate_from_data,"ACT completes 92% of 25 evaluations; human reference is successful expert demonstrations, not an independently measured all-attempt success rate.",point_estimate,successful,350,https://arxiv.org/pdf/2304.13705 section V-B; research/new-sources/act.md,operation_count,point_estimate,not_applicable,not_applicable,https://arxiv.org/pdf/2304.13705 section IV-C and Table III; research/new-sources/act.md,not_applicable,not_applicable,ACT ALOHA fine manipulation,performance: https://arxiv.org/pdf/2304.13705 Figure 6 and Table II,"Human 11s is the midpoint of the cross-task 8–14s range, not a measured task mean. AI full-horizon estimate uses 800 calls for cup from the project 600–1000-step range, or 1000 calls for shoe from public configuration; these are transferred to paper performance. CNN workload is area-scaled. Human successful demonstrations versus all-outcome analytic AI attempt. Timing donor: 350 retained demonstrations across six real-robot tasks; resets and operator mistakes are outside the demonstration duration.",,not_available,,,not_available,,,put-a-shoe-on-a-mannequin,yes
resnet50_imagenet_10crop,Classify an ImageNet image,perception,"Sort one natural image into one of ImageNet's 1,000 categories.",resnet50_original,inference,76000000000.0,,,expert,task_performance,26,26,64.8,below,different_inputs_or_tools; different_assessment; different_human_baseline,derived_supported_inputs,llm_estimate_from_data,ResNet-50 ten-crop top-5 validation error 6.71%; expert human top-5 error 5.1% on 1500 test images.,median,all,10000,research/imagenet-cnn/imagenet-cnn.md#human-baseline,operation_count,point_estimate,not_applicable,not_applicable,https://arxiv.org/pdf/1512.03385 Tables 1 and 3; research/new-sources/resnet.md,not_applicable,not_applicable,ResNet ImageNet classification,performance: https://arxiv.org/pdf/1512.03385 Table 3; https://karpathy.github.io/2014/09/02/what-i-learned-from-competing-against-a-convnet-on-imagenet/,"Human median timing transfers from the Shankar et al. trained-labeler study on mixed original/ImageNetV2 images, whose task is top-1 while this row is scored top-5. Human reference materials and flagged-image exclusions differ from model evaluation. Uses ten crops, not the lower-error multiscale configuration. The top-5 error the performance comparison uses is Karpathy’s expert labeler, a different person from the timing donors. Timing donor: five trained labelers each labeling 2,000 images. Scored top-5, selecting up to five classes, under the original ten-crop evaluation; the human uses the class lookup interface.",,not_available,,,not_available,,,classify-an-imagenet-image,no
