model_id,model_release_date,model_release_source,basis
o3-codeforces-checkpoint,2025-02-03,https://arxiv.org/abs/2502.06807v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"The early o3 Codeforces checkpoint is described only by OpenAI's competitive-programming paper, whose arXiv v1 was submitted 2025-02-03. The checkpoint was never released and is distinct from the public o3."
dqn_2015_pong,2015-02-25,"https://www.nature.com/articles/nature14236 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Mnih et al., Nature 518, 529-533. Crossref published-online and Nature's own article page both give 2015-02-25; the print issue is 2015-02-26. The scored checkpoints were never distributed."
dqn_2015_breakout,2015-02-25,"https://www.nature.com/articles/nature14236 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Mnih et al., Nature 518, 529-533. Crossref published-online and Nature's own article page both give 2015-02-25; the print issue is 2015-02-26. The scored checkpoints were never distributed."
dqn-nature-2015-frostbite,2015-02-25,"https://www.nature.com/articles/nature14236 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Mnih et al., Nature 518, 529-533. Crossref published-online and Nature's own article page both give 2015-02-25; the print issue is 2015-02-26. The scored checkpoints were never distributed."
act_aloha_2023,2023-04-23,https://arxiv.org/abs/2304.13705v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Zhao et al., Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware, arXiv v1 2023-04-23. Task-specific weights were not released."
cassie-100m-2022,2022-09-27,https://news.oregonstate.edu/news/bipedal-robot-developed-oregon-state-achieves-guinness-world-record-100-meters (Oregon State announcement of the record run this controller set; article:published_time 2022-09-27); https://arxiv.org/abs/2508.03070v1; research/model-release-dates/README.md,"First public appearance of the 2022 controller is Oregon State's announcement of the Guinness 100 m record, dated 2022-09-27 in the page's own metadata. The sprint paper that documents the controller is later (arXiv v1 2025-08-05) and is not used, because it would place a 2022 artefact three years late."
mobile-aloha-act-cotrain,2024-01-04,https://arxiv.org/abs/2401.02117v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Fu, Zhao and Finn, Mobile ALOHA, arXiv v1 2024-01-04."
swift-racing-system,2023-08-30,"https://www.nature.com/articles/s41586-023-06419-4 (Nature online publication; research artefact, paper date used as the release date); research/model-release-dates/README.md","Kaufmann et al., Champion-level drone racing using deep reinforcement learning, Nature 620, 982-987. Crossref published-online 2023-08-30."
dexnet-2-gq-cnn,2017-03-27,https://arxiv.org/abs/1703.09312v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Mahler et al., Dex-Net 2.0, arXiv v1 2017-03-27."
lipnet-grid-unseen,2016-11-05,https://arxiv.org/abs/1611.01599v1 (research artefact; arXiv v1 submission used as the release date); research/model-release-dates/README.md,"Assael et al., LipNet, arXiv v1 2016-11-05. The evaluated weights were never released; the public code gives the architecture."
