point_id,ai_cost_usd,ai_cost_basis,ai_cost_date,human_cost_usd,human_cost_basis,evidence
lang-xfer-eu-latxa70b,,not_available,,,not_available,Continued-pretraining run on self-hosted open weights; no per-token price applies and the paper reports no dollar cost. Source reports no payment or price for the human baseline.
dqn_pong_minute,,not_available,,,not_available,Atari agent (DQN/MuZero/EfficientZero) was never sold through a per-token API; the row is an operation count with no token or dollar record. Source reports no payment or price for the human baseline.
dqn_breakout_minute,,not_available,,,not_available,Atari agent (DQN/MuZero/EfficientZero) was never sold through a per-token API; the row is an operation count with no token or dollar record. Source reports no payment or price for the human baseline.
act_cup_episode,,not_available,,,not_available,ACT ALOHA imitation policy was never API-served; the row is an operation count for a robot episode. Source reports no payment or price for the human baseline.
act_shoe_episode,,not_available,,,not_available,ACT ALOHA imitation policy was never API-served; the row is an operation count for a robot episode. Source reports no payment or price for the human baseline.
game-atari-dqn,,not_available,,,not_available,Atari agent (DQN/MuZero/EfficientZero) was never sold through a per-token API; the row is an operation count with no token or dollar record. Source reports no payment or price for the human baseline.
game-atari-train-efficientzero,,not_available,,,not_available,Atari agent (DQN/MuZero/EfficientZero) was never sold through a per-token API; the row is an operation count with no token or dollar record. Source reports no payment or price for the human baseline.
game-chess-alphazero,,not_available,,,not_available,"DeepMind/OpenAI research agent, never sold through a per-token API; the row is an operation count from architecture and workload, with no token or dollar record. Source reports no payment or price for the human baseline."
game-atari-train-muzero,,not_available,,,not_available,Atari agent (DQN/MuZero/EfficientZero) was never sold through a per-token API; the row is an operation count with no token or dollar record. Source reports no payment or price for the human baseline.
game-chess-move-maia,,not_available,,,not_available,Chess engine or research checkpoint run locally; never API-served and no dollar record. Source reports no payment or price for the human baseline.
game-gt-fuchs2020-minute,,not_available,,,not_available,"Gran Turismo driving policy, never API-served; the row is an operation count per minute or lap. Source reports no payment or price for the human baseline."
game-gt-sophy-minute,,not_available,,,not_available,"Gran Turismo driving policy, never API-served; the row is an operation count per minute or lap. Source reports no payment or price for the human baseline."
game-go-alphagozero-1600,,not_available,,,not_available,"DeepMind/OpenAI research agent, never sold through a per-token API; the row is an operation count from architecture and workload, with no token or dollar record. Source reports no payment or price for the human baseline."
game-sc2-alphastar-minute,,not_available,,,not_available,"DeepMind/OpenAI research agent, never sold through a per-token API; the row is an operation count from architecture and workload, with no token or dollar record. Source reports no payment or price for the human baseline."
lang-lacq-blimp-elcbert100m,,not_available,,,not_available,Training run on a research or open-weight checkpoint; training compute is not sold per token and the source reports no dollar cost. Source reports no payment or price for the human baseline.
lang-lacq-blimp-gptbert100m,,not_available,,,not_available,Training run on a research or open-weight checkpoint; training compute is not sold per token and the source reports no dollar cost. Source reports no payment or price for the human baseline.
lang-lacq-blimp-gptbert10m,,not_available,,,not_available,Training run on a research or open-weight checkpoint; training compute is not sold per token and the source reports no dollar cost. Source reports no payment or price for the human baseline.
lang-lacq-blimp-lstm,,not_available,,,not_available,Training run on a research or open-weight checkpoint; training compute is not sold per token and the source reports no dollar cost. Source reports no payment or price for the human baseline.
divemt-mbart50-en-ara,,not_available,,,not_available,"DivEMT ran mBART-50 itself; the checkpoint has no hosted per-token price, and the release reports no MT dollar cost. Source reports no payment or price for the human baseline."
divemt-mbart50-en-ita,,not_available,,,not_available,"DivEMT ran mBART-50 itself; the checkpoint has no hosted per-token price, and the release reports no MT dollar cost. Source reports no payment or price for the human baseline."
divemt-mbart50-en-nld,,not_available,,,not_available,"DivEMT ran mBART-50 itself; the checkpoint has no hosted per-token price, and the release reports no MT dollar cost. Source reports no payment or price for the human baseline."
divemt-mbart50-en-tur,,not_available,,,not_available,"DivEMT ran mBART-50 itself; the checkpoint has no hosted per-token price, and the release reports no MT dollar cost. Source reports no payment or price for the human baseline."
divemt-mbart50-en-ukr,,not_available,,,not_available,"DivEMT ran mBART-50 itself; the checkpoint has no hosted per-token price, and the release reports no MT dollar cost. Source reports no payment or price for the human baseline."
divemt-mbart50-en-vie,,not_available,,,not_available,"DivEMT ran mBART-50 itself; the checkpoint has no hosted per-token price, and the release reports no MT dollar cost. Source reports no payment or price for the human baseline."
lang-rc-squad-bert-base,,not_available,,,not_available,BERT-family encoder run by the source on its own hardware; never sold through a per-token API. Source reports no payment or price for the human baseline.
lang-rc-squad-bert-large-single,,not_available,,,not_available,BERT-family encoder run by the source on its own hardware; never sold through a per-token API. Source reports no payment or price for the human baseline.
lang-rc-squad-bert,,not_available,,,not_available,BERT-family encoder run by the source on its own hardware; never sold through a per-token API. Source reports no payment or price for the human baseline.
agen-codexfer-codex300m,,not_available,,,not_available,"2021 Codex research models were never separately priced, and the row is a fine-tuning run rather than API inference. Source reports no payment or price for the human baseline."
agen-codexfer-codex2p5b,,not_available,,,not_available,"2021 Codex research models were never separately priced, and the row is a fine-tuning run rather than API inference. Source reports no payment or price for the human baseline."
agen-codexfer-codex12b,,not_available,,,not_available,"2021 Codex research models were never separately priced, and the row is a fine-tuning run rather than API inference. Source reports no payment or price for the human baseline."
