point_id,source_dataset,old_label,action,new_label,scores_used,reason
robo-100m-cassie,,below,keep_below,below,"3/5 runs completed, 24.37-27.38 s vs 9.58-10.34 s","completes the run, about 2.5x slower"
16x-clean-markdown-sonnet4,16x Eval: Clean markdown (Medium),below,keep_below,below,0/1 exact-output test; fails only on six required blank lines,function implements the transformation with one identified defect
act_cup_episode,ACT ALOHA fine manipulation,below,keep_below,below,84% of 25 evaluations vs successful expert demonstrations,does the manipulation in most trials
reas-arcagi-v1-gemini3dt,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 94.26% vs humans 60.97%,human 0.65 of AI on the benchmark metric
reas-arcagi-v1-gemini3pro,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 87.85% vs humans 60.9%,human 0.69 of AI on the benchmark metric
reas-arcagi-v1-gpt52-high,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 91.27% vs humans 60.91%,human 0.67 of AI on the benchmark metric
reas-arcagi-v1-gpt52-xhigh,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 96.95% vs humans 61.7%,human 0.64 of AI on the benchmark metric
reas-arcagi-v1-gpt54-high,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 96.04% vs humans 60.91%,human 0.63 of AI on the benchmark metric
reas-arcagi-v1-grok420,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 96.04% vs humans 60.91%,human 0.63 of AI on the benchmark metric
reas-arcagi-v1-kimi-k25,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 75.3% vs humans 60.95%,human 0.81 of AI on the benchmark metric
reas-arcagi-v1-opus46-low,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 89.39% vs humans 60.94%,human 0.68 of AI on the benchmark metric
reas-arcagi-v1-opus46-max,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 97.02% vs humans 60.91%,human 0.63 of AI on the benchmark metric
reas-arcagi-v1-opus48-max,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 97.87% vs humans 61.65%,human 0.63 of AI on the benchmark metric
reas-arcagi-v1-sonnet45-32k,ARC Prize ARC-AGI-1 public evaluation; H-ARC,above,above,above,exact-grid success AI 75.36% vs humans 60.91%,human 0.81 of AI on the benchmark metric
reas-arcagi-v1-gpt4o,ARC Prize ARC-AGI-1 public evaluation; H-ARC,below,exclude,,exact-grid success AI 11.38% vs humans 60.87%,AI 0.19 of human on the benchmark metric
reas-arcagi-v1-gpt52-none,ARC Prize ARC-AGI-1 public evaluation; H-ARC,below,exclude,,exact-grid success AI 16.38% vs humans 60.91%,AI 0.27 of human on the benchmark metric
reas-arcagi-v1-qwen3-235b,ARC Prize ARC-AGI-1 public evaluation; H-ARC,below,exclude,,exact-grid success AI 17.75% vs humans 60.91%,AI 0.29 of human on the benchmark metric
reas-arcagi-v1-qwq32b,ARC Prize ARC-AGI-1 public evaluation; H-ARC,below,exclude,,exact-grid success AI 10.98% vs humans 60.91%,AI 0.18 of human on the benchmark metric
reas-arcagi-v2-gemini3dt,ARC Prize ARC-AGI-2 public evaluation; ARC-AGI-2 human study,below,keep_below,below,exact-grid success AI 48.87% vs humans 62.76%,AI 0.78 of human on the benchmark metric
reas-arcagi-v2-gpt54-high,ARC-AGI-2 public evaluation,above,above,above,exact-grid success AI 73.95% vs humans 62.34%,human 0.84 of AI on the benchmark metric
reas-arcagi-v2-opus46-max,ARC-AGI-2 public evaluation,above,above,above,exact-grid success AI 76.59% vs humans 62.85%,human 0.82 of AI on the benchmark metric
reas-arcagi-v2-dsv32,ARC-AGI-2 public evaluation,below,exclude,,exact-grid success AI 3.68% vs humans 62.19%,AI 0.06 of human on the benchmark metric
reas-arcagi-v2-gemini3pro,ARC-AGI-2 public evaluation,below,exclude,,exact-grid success AI 26.72% vs humans 62.9%,"AI 0.42 of human on the benchmark metric (borderline, ratio 0.42)"
reas-arcagi-v2-glm5,ARC-AGI-2 public evaluation,below,exclude,,exact-grid success AI 5.36% vs humans 62.39%,AI 0.09 of human on the benchmark metric
reas-arcagi-v2-gpt52-high,ARC-AGI-2 public evaluation,below,keep_below,below,exact-grid success AI 37.52% vs humans 62.39%,AI 0.60 of human on the benchmark metric
reas-arcagi-v2-gpt52-low,ARC-AGI-2 public evaluation,below,exclude,,exact-grid success AI 9.19% vs humans 62.34%,AI 0.15 of human on the benchmark metric
reas-arcagi-v2-gpt52-medium,ARC-AGI-2 public evaluation,below,exclude,,exact-grid success AI 25.75% vs humans 62.47%,"AI 0.41 of human on the benchmark metric (borderline, ratio 0.41)"
reas-arcagi-v2-gpt52-none,ARC-AGI-2 public evaluation,below,exclude,,exact-grid success AI 0% vs humans 62.34%,AI 0.00 of human on the benchmark metric
reas-arcagi-v2-kimi-k25,ARC-AGI-2 public evaluation,below,exclude,,exact-grid success AI 10.65% vs humans 62.34%,AI 0.17 of human on the benchmark metric
reas-arcagi-v2-sonnet45-32k,ARC-AGI-2 public evaluation,below,exclude,,exact-grid success AI 13.31% vs humans 62.34%,AI 0.21 of human on the benchmark metric
reas-codecontests-alphacode-ensemble-1m,AlphaCode / CodeContests,below,undecidable,,35.5% solve at 10@1M; human solve rate unmeasured; AI contest rating 1238 vs human 1900-2100,"the solve rate reads as a near miss and the rating transfer as a large gap, with no human score on the benchmark metric"
game-go-alphagozero-40day-training,AlphaGo Zero / human Go training histories,above,far_above,far_above,beat AlphaGo Master 89/100; Master beat leading professionals 60/60,endpoint strength no human professional reaches
perc-faceverif-arcface,ArcFace (CVPR 2019); Kumar et al. LFW human study (2009),above,above,above,99.83% vs human 97.53% on 6000 pairs,a modest accuracy edge on a task humans do well
lang-patient-message-chatgpt2022,Ayers et al. 2023 patient questions,above,above,above,preferred in 78.6% of judgments; 4.13 vs 3.26 on a 1-5 scale,physicians 0.72 of the AI rating net of the scale floor
lang-bigbench-parity-palm,BIG-bench known_unknowns / PaLM,below,keep_below,below,73.91% vs human raters 80.25%,"same job, modestly worse"
crossword-nyt-2021-03-23-berkeley-bp,Berkeley Crossword Solver (ACL 2022),below,keep_below,below,44.3% perfect-puzzle rate vs 6/7 human perfect puzzles,"0.52 of the human rate (borderline, ratio 0.52)"
lang-book-coherence-gpt4-hier,BooookScore coherence annotation,below,keep_below,below,validator full agreement AI 53.7% vs human 64.7%,0.83 of the human annotator rate (transferred to hierarchical summaries)
lang-book-coherence-gpt4-inc,BooookScore coherence annotation,below,keep_below,below,validator full agreement AI 53.7% vs human 64.7%,0.83 of the human annotator rate
perc-cxr-chexnet,CheXNet 2017 pneumonia study,above,above,above,AI ROC above the mean sensitivity/specificity point of four radiologists,a margin over practising readers who do the job
reas-gsm8k-cop-gpt4o,Cost-of-Pass,above,above,above,AI 91.99% vs human 84%,human 0.91 of the AI
reas-gsm8k-cop-llama31-405b,Cost-of-Pass,above,above,above,AI 93.95% vs human 84%,human 0.89 of the AI
reas-gsm8k-cop-llama33-70b,Cost-of-Pass,above,above,above,AI 92.09% vs human 84%,human 0.91 of the AI
reas-gsm8k-cop-o1,Cost-of-Pass,above,above,above,AI 94.04% vs human 84%,human 0.89 of the AI
reas-gsm8k-cop-o1mini,Cost-of-Pass,above,above,above,AI 92.58% vs human 84%,human 0.91 of the AI
reas-gsm8k-cop-o3mini,Cost-of-Pass,above,above,above,AI 92.77% vs human 84%,human 0.91 of the AI
reas-gsm8k-cop-r1,Cost-of-Pass,above,above,above,AI 93.36% vs human 84%,human 0.90 of the AI
reas-gsm8k-cop-sonnet35,Cost-of-Pass,above,above,above,AI 94.43% vs human 84%,human 0.89 of the AI
extr-2digitadd-llama31-8b,Cost-of-Pass,below,keep_below,below,89.45% vs reliable numerate adults,0.89 of an assumed ~100% baseline
lang-bbq-gpt4o,Cost-of-Pass,below,keep_below,below,AI 90.04% vs BBQ human 95.7%,AI 0.94 of the human rate
lang-bbq-gpt4omini,Cost-of-Pass,below,keep_below,below,AI 53.32% vs BBQ human 95.7%,"AI 0.56 of the human rate (borderline, ratio 0.56)"
lang-bbq-llama31-405b,Cost-of-Pass,below,keep_below,below,AI 85.74% vs BBQ human 95.7%,AI 0.90 of the human rate
lang-bbq-llama31-8b,Cost-of-Pass,below,exclude,,AI 21.48% vs BBQ human 95.7%,AI 0.22 of the human rate
lang-bbq-llama33-70b,Cost-of-Pass,below,keep_below,below,AI 85.06% vs BBQ human 95.7%,AI 0.89 of the human rate
lang-bbq-o1mini,Cost-of-Pass,below,keep_below,below,AI 85.74% vs BBQ human 95.7%,AI 0.90 of the human rate
lang-bbq-o3mini,Cost-of-Pass,below,keep_below,below,AI 83.79% vs BBQ human 95.7%,AI 0.88 of the human rate
lang-bbq-r1,Cost-of-Pass,below,keep_below,below,AI 83.69% vs BBQ human 95.7%,AI 0.87 of the human rate
reas-gsm8k-cop-llama31-8b,Cost-of-Pass,below,keep_below,below,75.78% vs human 84%,0.90 of the human rate
dqn_breakout_minute,DQN Nature Atari evaluation,above,far_above,far_above,Figure 3 places Breakout far above the professional tester,normalized score far beyond the tester baseline
robo-cube-dactyl,Dactyl Rubik cube manipulation,below,exclude,,2/10 full 43-subgoal sequences vs assumed reliable human,20% of an assumed ~100% baseline
game-negotiation-fair2017-likelihood,Deal or No Deal? (2017),below,keep_below,below,4.7 vs 5.8 mean points out of 10,0.81 of the human score in the same negotiations
robo-grasp-dexnet,Dex-Net2.0 v1,below,keep_below,below,40/50 novel-object trials vs assumed reliable human,80% of an assumed ~100% baseline
divemt-mbart50-en-ara,DivEMT,below,keep_below,below,median word edit rate 35.714% to publishable; 11/413 accepted unchanged,delivers a complete translation that the post-editor brings to publishable quality
divemt-mbart50-en-ita,DivEMT,below,keep_below,below,median word edit rate 25.806% to publishable; 35/413 accepted unchanged,delivers a complete translation that the post-editor brings to publishable quality
divemt-mbart50-en-nld,DivEMT,below,keep_below,below,median word edit rate 26.316% to publishable; 30/413 accepted unchanged,delivers a complete translation that the post-editor brings to publishable quality
divemt-mbart50-en-tur,DivEMT,below,keep_below,below,median word edit rate 36.842% to publishable; 23/413 accepted unchanged,delivers a complete translation that the post-editor brings to publishable quality
divemt-mbart50-en-ukr,DivEMT,below,keep_below,below,median word edit rate 57.692% to publishable; 2/413 accepted unchanged,delivers a complete translation that the post-editor brings to publishable quality
divemt-mbart50-en-vie,DivEMT,below,keep_below,below,median word edit rate 44.444% to publishable; 3/413 accepted unchanged,delivers a complete translation that the post-editor brings to publishable quality
reas-epoch-gpqa-claude2,Epoch AI benchmarks,above,above,above,"AI 34.66% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-claude21,Epoch AI benchmarks,above,above,above,"AI 32.95% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-dbrx,Epoch AI benchmarks,above,above,above,"AI 32.89% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-dsv32,Epoch AI benchmarks,above,far_above,far_above,"AI 83.42% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-eurus7b,Epoch AI benchmarks,above,above,above,"AI 33.9% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gemini10pro,Epoch AI benchmarks,above,above,above,"AI 33.96% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gemini15flash1,Epoch AI benchmarks,above,above,above,"AI 40.37% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gemini15flash2,Epoch AI benchmarks,above,above,above,"AI 47.32% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gemini15flash8b,Epoch AI benchmarks,above,above,above,"AI 32.95% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gemini15pro1,Epoch AI benchmarks,above,above,above,"AI 45.86% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gemini15pro2,Epoch AI benchmarks,above,far_above,far_above,"AI 57.23% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-gemini20flash,Epoch AI benchmarks,above,far_above,far_above,"AI 64.14% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-gemini20pro,Epoch AI benchmarks,above,far_above,far_above,"AI 65.66% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-gemini31pro,Epoch AI benchmarks,above,far_above,far_above,"AI 94.44% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-gemma2-27b,Epoch AI benchmarks,above,above,above,"AI 36.49% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gemma3-27b,Epoch AI benchmarks,above,above,above,"AI 48.86% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-glm47,Epoch AI benchmarks,above,far_above,far_above,"AI 83.33% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-glm5,Epoch AI benchmarks,above,far_above,far_above,"AI 87.82% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-gpt4-0125,Epoch AI benchmarks,above,above,above,"AI 42.27% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt4-1106,Epoch AI benchmarks,above,above,above,"AI 42.36% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt41,Epoch AI benchmarks,above,far_above,far_above,"AI 66.92% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-gpt41mini,Epoch AI benchmarks,above,far_above,far_above,"AI 65.85% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-gpt41nano,Epoch AI benchmarks,above,above,above,"AI 48.93% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt45,Epoch AI benchmarks,above,far_above,far_above,"AI 68.69% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-gpt4o-0513,Epoch AI benchmarks,above,above,above,"AI 48.9% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt4o-0806,Epoch AI benchmarks,above,above,above,"AI 49.21% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt4o-1120,Epoch AI benchmarks,above,above,above,"AI 47.89% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt4omini,Epoch AI benchmarks,above,above,above,"AI 37.72% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt4turbo,Epoch AI benchmarks,above,above,above,"AI 46.59% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt54xhigh,Epoch AI benchmarks,above,far_above,far_above,"AI 93.64% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-gptoss120b,Epoch AI benchmarks,above,far_above,far_above,"AI 75.76% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-grok2,Epoch AI benchmarks,above,far_above,far_above,"AI 53.79% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-grok3,Epoch AI benchmarks,above,far_above,far_above,"AI 75.76% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-grok3mini,Epoch AI benchmarks,above,far_above,far_above,"AI 73.74% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-haiku3,Epoch AI benchmarks,above,above,above,"AI 36.3% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-haiku35,Epoch AI benchmarks,above,above,above,"AI 38.13% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-hermes70b,Epoch AI benchmarks,above,above,above,"AI 37.47% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-llama3-70b,Epoch AI benchmarks,above,above,above,"AI 40.56% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-llama31-70b,Epoch AI benchmarks,above,above,above,"AI 44.19% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-llama32-90b,Epoch AI benchmarks,above,above,above,"AI 41.04% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-llama33-70b,Epoch AI benchmarks,above,above,above,"AI 47.44% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-llama4-maverick,Epoch AI benchmarks,above,far_above,far_above,"AI 66.98% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-llama4-scout,Epoch AI benchmarks,above,far_above,far_above,"AI 51.83% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-mistrallarge2402,Epoch AI benchmarks,above,above,above,"AI 38.76% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-mistrallarge2407,Epoch AI benchmarks,above,above,above,"AI 49.02% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-mistrallarge2411,Epoch AI benchmarks,above,far_above,far_above,"AI 51.33% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-mistralsmall2501,Epoch AI benchmarks,above,above,above,"AI 45.3% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-mistralsmall2503,Epoch AI benchmarks,above,above,above,"AI 47.47% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-mixtral8x22b,Epoch AI benchmarks,above,above,above,"AI 34.06% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-o1mini,Epoch AI benchmarks,above,far_above,far_above,"AI 62.37% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-o1prev,Epoch AI benchmarks,above,far_above,far_above,"AI 50.32% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-o3high,Epoch AI benchmarks,above,far_above,far_above,"AI 81.82% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-o3mini,Epoch AI benchmarks,above,far_above,far_above,"AI 77.02% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-o4mini,Epoch AI benchmarks,above,far_above,far_above,"AI 79.61% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-opus3,Epoch AI benchmarks,above,above,above,"AI 47.16% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-opus46-32k,Epoch AI benchmarks,above,far_above,far_above,"AI 90.53% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-opus46-64k,Epoch AI benchmarks,above,far_above,far_above,"AI 88.76% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-phi4,Epoch AI benchmarks,above,far_above,far_above,"AI 56.06% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-qwen2-72b,Epoch AI benchmarks,above,above,above,"AI 40.78% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-qwen25-32b,Epoch AI benchmarks,above,above,above,"AI 46.09% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-qwen25-72b,Epoch AI benchmarks,above,above,above,"AI 49.15% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-qwen3thinking,Epoch AI benchmarks,above,far_above,far_above,"AI 80.05% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-qwenmax25,Epoch AI benchmarks,above,far_above,far_above,"AI 56.12% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-qwenplus25,Epoch AI benchmarks,above,above,above,"AI 48.11% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-qwenturbo24,Epoch AI benchmarks,above,above,above,"AI 41.79% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-qwq32b,Epoch AI benchmarks,above,far_above,far_above,"AI 65.4% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-sonnet3,Epoch AI benchmarks,above,above,above,"AI 40.59% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-sonnet35-0620,Epoch AI benchmarks,above,far_above,far_above,"AI 54.04% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-sonnet35-1022,Epoch AI benchmarks,above,far_above,far_above,"AI 55.3% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-sonnet37,Epoch AI benchmarks,above,far_above,far_above,"AI 66.04% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-sonnet37-64k,Epoch AI benchmarks,above,far_above,far_above,"AI 77.27% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-sonnet46-32k,Epoch AI benchmarks,above,far_above,far_above,"AI 87.37% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-tulu3-70b,Epoch AI benchmarks,above,above,above,"AI 46.28% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-v3-0324,Epoch AI benchmarks,above,far_above,far_above,"AI 67.61% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
