key,project,system,informal_source,paper_pages,blueprint_pages,blueprint_pages_basis,formal_lines,formal_lines_basis,formal_lines_for_rate,contributors,author_days,span_start,span_end,elapsed_days,hours_method,people_for_fraction,on_task_fraction,used_in_fit,used_in_page_fit,notes,source
pfr,Polynomial Freiman-Ruzsa (Marton) conjecture,Lean 4,"Gowers, Green, Manners and Tao, On a conjecture of Marton",33,51,3451 blueprint .tex lines at Carleson's measured 67.9 tex lines per page,11035,"measured, teorth/pfr at 86514fc (2023-12-05), all *.lean",11035,30,148,2023-11-12,2023-12-05,23,author_days,,,yes,yes,Tao's Zulip-run project. 851 commits by 30 non-bot authors over 148 distinct author-days in 23 calendar days. Primary goals declared complete 5 Dec 2023,https://terrytao.wordpress.com/2023/11/18/formalizing-the-proof-of-pfr-in-lean4-using-blueprint-a-short-tour/
lte-stage1,Liquid Tensor Experiment (first target),Lean 3,Scholze's Analytic Geometry lecture notes Theorem 9.4,,,,26969,"measured, leanprover-community/lean-liquid at 532b4d9 (2021-06-05)",26969,19,351,2020-11-30,2021-06-05,187,author_days,,,yes,yes,Scholze's challenge posed Dec 2020; Commelin's team reached the first target within six months,https://xenaproject.wordpress.com/2021/06/05/half-a-year-of-the-liquid-tensor-experiment-amazing-developments/
lte-full,Liquid Tensor Experiment (complete),Lean 3,Scholze's Analytic Geometry lecture notes Theorem 9.1,,,,94452,"measured, leanprover-community/lean-liquid at b646a1f (2022-07-14)",94452,30,1049,2020-11-30,2022-07-14,591,author_days,,,yes,yes,"Completed 15:46 EST 14 Jul 2022, a year and a half after the challenge. No page count for the informal proof is published, so this project contributes to the lines-per-hour fit and not to the lines-per-page fit",https://leanprover-community.github.io/blog/posts/lte-final/
sphere-eversion,Sphere eversion and the h-principle,Lean 3 then Lean 4,"Gromov's h-principle via Theilliere's convex integration, as set out in the project blueprint",,43,2926 blueprint .tex lines at 67.9 tex lines per page,17813,"measured, leanprover-community/sphere-eversion at 47f6f7e (2022-11-12)",17813,12,347,2020-06-03,2022-11-12,892,author_days,,,yes,yes,"Main theorem completed 12 Nov 2022 by Massot, van Doorn and Nash with wider community help",https://arxiv.org/abs/2210.07746
carleson,Carleson's theorem on convergence of Fourier series,Lean 4,"Becker, Jamneshan, Srivastava and Thiele, 30-page paper; formalized against the 144-page blueprint",30,144,stated in the arXiv comment of 2405.06423v2,35600,"stated in the project paper, excluding blank lines and comments; my raw *.lean count at 7c75957 (2025-07-31) is 41446",35600,28,460,2024-06-01,2025-07-31,425,author_days,,,yes,yes,"14 core authors plus 14 acknowledged contributors; 179 blueprint lemmas split into about 180 claimable tasks; announced June 2024, completed July 2025",https://florisvandoorn.com/carleson/paper.pdf
capset-formal,Cap set problem (Ellenberg-Gijswijt),Lean 3,"Ellenberg-Gijswijt 4-page arXiv paper, of which just over two pages are mathematics; formalized against a 17-page blueprint of which nine pages correspond to the formalization",4,9,stated in the ITP 2019 paper,2000,stated in the ITP 2019 paper for the nine corresponding blueprint pages; my raw count of lean-forward/cap_set_problem is 2481,2000,3,,2019-03-31,2019-07-02,93,fraction,3,0.15,yes,yes,"Repository history is a late import (20 commits, 6 author-days), so author-days cannot be used and the estimate falls back to people x elapsed x fraction. Thousands more lines went to mathlib and are excluded",https://arxiv.org/abs/1907.01449
flt-imperial,Imperial College Fermat's Last Theorem project,Lean 4,Buzzard's blueprint for the reduction of FLT to 1980s mathematics,,91,6205 blueprint .tex lines at 67.9 tex lines per page,58777,"measured, ImperialCollegeLondon/FLT at bb71146 (2026-09-16), all *.lean",58777,73,727,2023-11-19,2026-09-16,1032,author_days,,,yes,no,"73 non-bot commit authors, 1571 non-bot commits, 133 bot commits, 727 distinct author-days of which 302 are Buzzard's. EPSRC EP/Y022904/1, 934043 pounds from Sep 2024 to Sep 2029, buys out Buzzard's teaching and administration",https://gtr.ukri.org/projects?ref=EP%2FY022904%2F1
odd-order,Odd Order (Feit-Thompson) theorem,Coq with SSReflect,"Bender-Glauberman and Peterfalvi, about 250 pages of textbook mathematics",250,,,40549,"measured, math-comp/odd-order (all *.v); the ITP 2013 paper states about 40000 lines for these 250 pages and more than 150000 lines including the reusable libraries",150000,15,,2006-05-01,2012-09-20,2334,fraction,15,0.10,yes,yes,Paper reports a six-year collaborative effort by 15 authors. Its own ratio statement: 4-5 lines of SSReflect code per line of informal text. The current repository is a later port so its commit history cannot be used,https://www.cs.unibo.it/~asperti/PAPERS/odd_order.pdf
flyspeck,Flyspeck (Kepler conjecture),HOL Light and Isabelle,"Hales's proof of the Kepler conjecture, Annals 162 (2005) 1065-1185, plus the Dense Sphere Packings book",121,,,,"not separately measured; the flyspeck/flyspeck repository totals 1332037 lines of *.hl and *.ml including the HOL Light sources themselves, which is not a clean formal-proof count",,22,,2003-01-01,2014-08-10,4239,fraction,22,0.05,no,no,"Hales estimated 20 person-years of labour at the project's inception in Jan 2003; that is a forecast, not a record. 22 authors on the completed paper. Used as a cross-check on the headcount reconstruction, not in the fit",https://arxiv.org/abs/1501.02155
fourcolor,Four Colour Theorem,Coq with SSReflect,"Robertson, Sanders, Seymour and Thomas, The four-colour theorem, JCTB 1997",43,,,44695,"measured, coq-community/fourcolor (all *.v); Gonthier's 2005 development is usually quoted at about 60000 lines",44695,2,,2000-01-01,2004-12-01,1796,fraction,2,0.30,no,no,"Gonthier announced completion in December 2004 with Benjamin Werner. I could not reach a primary statement of the start date or of the effort, so the span is inferred and the row is reported not used",https://www.ams.org/notices/200811/tx081101382p.pdf
li-550,Eric Li's formalization of his own Erdos 550 proof,Lean 4,His own 26-page paper arXiv 2606.23659,26,,,,not published,,1,,2026-06-22,2026-08-02,41,fraction,1,0.40,no,no,"v1 22 Jun 2026; v2 2 Aug 2026 with the comment The proof has been formally verified in Lean. No line count is published, so this row gives hours but no rate and is reported not used in the lines-per-hour fit",https://arxiv.org/abs/2606.23659
sel4,seL4 microkernel functional correctness,Isabelle/HOL,8700 lines of C and 600 lines of assembler,,,,165000,stated by the seL4 team for the project-specific proof; 200000 including frameworks and libraries,165000,,,2004-01-01,2009-01-01,1826,stated,,,no,no,"Stated effort: 11 person-years for the seL4-specific proof and about 20 person-years including frameworks, tools and libraries. Software rather than mathematics, carried as the outside cross-check on the rate",https://sel4.systems/About/seL4-whitepaper.pdf
