session_guid,harness,effort,environment,page_rhae_pct,config,model,game_id,api_score,levels_completed,level_count,actions,resets,state,level_scores,level_actions,level_baseline_actions,open_at,last_update
c28b4a3f-69b3-416e-8137-3890497bc089,standard,max,AR25,100.0,openai-gpt-6-astra-max,gpt-6-astra,ar25-0c556536,100,8,8,261,0,WIN,"[115, 115, 115, 115, 115, 115, 115, 115]","[15, 11, 40, 22, 28, 54, 40, 51]","[32, 50, 75, 37, 89, 159, 233, 73]",2026-08-31T09:52:41.952113Z,2026-08-31T11:27:05.875296Z
ff28f25e-8365-4b8e-8bf7-34541ec0f9ca,standard,xhigh,AR25,100.0,openai-gpt-6-astra-xhigh,gpt-6-astra,ar25-0c556536,100,8,8,265,0,WIN,"[115, 115, 115, 115, 115, 115, 115, 115]","[15, 11, 40, 22, 30, 53, 46, 48]","[32, 50, 75, 37, 89, 159, 233, 73]",2026-08-31T10:07:04.753631Z,2026-08-31T11:04:03.324139Z
fe07a0ff-63de-406c-babb-24dca1227055,standard,high,AR25,100.0,openai-gpt-6-astra-high,gpt-6-astra,ar25-0c556536,100,8,8,270,0,WIN,"[115, 115, 115, 115, 115, 115, 115, 115]","[15, 13, 40, 22, 29, 54, 50, 47]","[32, 50, 75, 37, 89, 159, 233, 73]",2026-08-31T10:27:44.508536Z,2026-08-31T11:18:31.06119Z
233f44a0-2047-4a59-a96c-b9013e2be944,standard,medium,AR25,100.0,openai-gpt-6-astra-medium,gpt-6-astra,ar25-0c556536,100,8,8,267,0,WIN,"[115, 115, 115, 115, 115, 115, 115, 115]","[17, 12, 40, 23, 28, 58, 41, 48]","[32, 50, 75, 37, 89, 159, 233, 73]",2026-08-31T11:03:00.281443Z,2026-08-31T11:43:57.914119Z
fb11ad35-a341-4b03-81c1-20fa859a642b,standard,low,AR25,100.0,openai-gpt-6-astra-low,gpt-6-astra,ar25-0c556536,100,8,8,318,0,WIN,"[115, 115, 115, 115, 115, 115, 115, 115]","[15, 14, 40, 23, 30, 93, 39, 64]","[32, 50, 75, 37, 89, 159, 233, 73]",2026-08-31T11:40:10.925797Z,2026-08-31T12:13:34.244817Z
c338e684-4002-4593-abe8-76550d672d8d,standard,none,AR25,100.0,openai-gpt-6-astra-none,gpt-6-astra,ar25-0c556536,100,8,8,279,0,WIN,"[115, 115, 115, 115, 115, 115, 115, 115]","[18, 14, 41, 23, 29, 57, 43, 54]","[32, 50, 75, 37, 89, 159, 233, 73]",2026-08-31T12:23:31.967284Z,2026-08-31T12:53:27.85431Z
3cd20b12-b1c0-47e2-a3a1-406b6e4f75a7,standard,max,CN04,100.0,openai-gpt-6-astra-max,gpt-6-astra,cn04-2fe56bfb,100,6,6,215,0,WIN,"[115, 115, 115, 115, 115, 115]","[14, 31, 30, 33, 64, 43]","[29, 54, 85, 300, 208, 113]",2026-08-31T09:54:02.377709Z,2026-08-31T11:42:05.828557Z
2fb989b1-f72a-422c-ac0d-54f4c5fe0db5,standard,xhigh,CN04,100.0,openai-gpt-6-astra-xhigh,gpt-6-astra,cn04-2fe56bfb,100,6,6,296,1,WIN,"[115, 115, 115, 115, 115, 68.03239384090787]","[14, 31, 25, 39, 50, 137]","[29, 54, 85, 300, 208, 113]",2026-08-31T10:07:52.97481Z,2026-08-31T11:23:39.774646Z
ddba54d3-7890-4ec0-a8cd-523b01bcf5b0,standard,high,CN04,100.0,openai-gpt-6-astra-high,gpt-6-astra,cn04-2fe56bfb,100,6,6,357,0,WIN,"[115, 115, 115, 115, 115, 63.32572902201945]","[14, 31, 31, 36, 103, 142]","[29, 54, 85, 300, 208, 113]",2026-08-31T10:30:10.221744Z,2026-08-31T11:53:52.114953Z
cce1b2df-156c-4de5-86fe-15053601a2e6,standard,medium,CN04,100.0,openai-gpt-6-astra-medium,gpt-6-astra,cn04-2fe56bfb,100,6,6,322,0,WIN,"[115, 115, 115, 115, 115, 115]","[21, 31, 31, 75, 78, 86]","[29, 54, 85, 300, 208, 113]",2026-08-31T11:06:33.760141Z,2026-08-31T12:00:01.616399Z
