point_id,ai_cost_usd,ai_cost_basis,ai_cost_date,human_cost_usd,human_cost_basis,evidence
work-gdpval-b1a79ce1-gpt5,0.762,reported,2025-09-25,,not_available,"GDPval paper (arXiv 2510.04374) Table 2 and Appendix A.2.4: gold-subset mean expert cost HC=$361 and gpt-5 naive cost improvement 474x give MC=361/474=0.76160 per task; footnote 8 states MC is the average invoiced API cost per task over the three collected completions. Same per-task unit as compute_flops, which the Codex note inverts from this same figure."
work-gdpval-43dc9778-gpt5,0.762,reported,2025-09-25,,not_available,"GDPval paper (arXiv 2510.04374) Table 2 and Appendix A.2.4: gold-subset mean expert cost HC=$361 and gpt-5 naive cost improvement 474x give MC=361/474=0.76160 per task; footnote 8 states MC is the average invoiced API cost per task over the three collected completions. Same per-task unit as compute_flops, which the Codex note inverts from this same figure."
work-gdpval-0112fc9b-gpt5,0.762,reported,2025-09-25,,not_available,"GDPval paper (arXiv 2510.04374) Table 2 and Appendix A.2.4: gold-subset mean expert cost HC=$361 and gpt-5 naive cost improvement 474x give MC=361/474=0.76160 per task; footnote 8 states MC is the average invoiced API cost per task over the three collected completions. Same per-task unit as compute_flops, which the Codex note inverts from this same figure."
work-gdpval-0112fc9b-opus5,6.5634,list_price,2026-09-12,,not_available,"Artificial Analysis GDPval-AA v2 record claude-opus-5, retained as dataset/sources/gdpval/fetched/aa-opus5-record.json (page fetched 2026-09-12): gdpval token counts input 1443328948, cacheableInput 1407667015, answer 12091348, reasoning 9300465, with cacheHitRate 0.996663404781368, over 220 tasks. Priced at Anthropic list rates for claude-opus-5-max (input 5.00, cache read 0.50, cache write 6.25, output 25.00 USD/M; research/cost/list-prices.csv, sheet from 2026-07-24). Same token decomposition and 220-task normalization as compute_flops."
work-gdpval-01d7e53e-gpt5,0.762,reported,2025-09-25,,not_available,"GDPval paper (arXiv 2510.04374) Table 2 and Appendix A.2.4: gold-subset mean expert cost HC=$361 and gpt-5 naive cost improvement 474x give MC=361/474=0.76160 per task; footnote 8 states MC is the average invoiced API cost per task over the three collected completions. Same per-task unit as compute_flops, which the Codex note inverts from this same figure."
work-gdpval-01d7e53e-opus5,6.5634,list_price,2026-09-12,,not_available,"Artificial Analysis GDPval-AA v2 record claude-opus-5, retained as dataset/sources/gdpval/fetched/aa-opus5-record.json (page fetched 2026-09-12): gdpval token counts input 1443328948, cacheableInput 1407667015, answer 12091348, reasoning 9300465, with cacheHitRate 0.996663404781368, over 220 tasks. Priced at Anthropic list rates for claude-opus-5-max (input 5.00, cache read 0.50, cache write 6.25, output 25.00 USD/M; research/cost/list-prices.csv, sheet from 2026-07-24). Same token decomposition and 220-task normalization as compute_flops."
work-gdpval-02314fc6-gpt5,0.762,reported,2025-09-25,,not_available,"GDPval paper (arXiv 2510.04374) Table 2 and Appendix A.2.4: gold-subset mean expert cost HC=$361 and gpt-5 naive cost improvement 474x give MC=361/474=0.76160 per task; footnote 8 states MC is the average invoiced API cost per task over the three collected completions. Same per-task unit as compute_flops, which the Codex note inverts from this same figure."
work-gdpval-02314fc6-opus5,6.5634,list_price,2026-09-12,,not_available,"Artificial Analysis GDPval-AA v2 record claude-opus-5, retained as dataset/sources/gdpval/fetched/aa-opus5-record.json (page fetched 2026-09-12): gdpval token counts input 1443328948, cacheableInput 1407667015, answer 12091348, reasoning 9300465, with cacheHitRate 0.996663404781368, over 220 tasks. Priced at Anthropic list rates for claude-opus-5-max (input 5.00, cache read 0.50, cache write 6.25, output 25.00 USD/M; research/cost/list-prices.csv, sheet from 2026-07-24). Same token decomposition and 220-task normalization as compute_flops."
work-gdpval-02aa1805-gpt5,0.762,reported,2025-09-25,,not_available,"GDPval paper (arXiv 2510.04374) Table 2 and Appendix A.2.4: gold-subset mean expert cost HC=$361 and gpt-5 naive cost improvement 474x give MC=361/474=0.76160 per task; footnote 8 states MC is the average invoiced API cost per task over the three collected completions. Same per-task unit as compute_flops, which the Codex note inverts from this same figure."
work-gdpval-02aa1805-opus5,6.5634,list_price,2026-09-12,,not_available,"Artificial Analysis GDPval-AA v2 record claude-opus-5, retained as dataset/sources/gdpval/fetched/aa-opus5-record.json (page fetched 2026-09-12): gdpval token counts input 1443328948, cacheableInput 1407667015, answer 12091348, reasoning 9300465, with cacheHitRate 0.996663404781368, over 220 tasks. Priced at Anthropic list rates for claude-opus-5-max (input 5.00, cache read 0.50, cache write 6.25, output 25.00 USD/M; research/cost/list-prices.csv, sheet from 2026-07-24). Same token decomposition and 220-task normalization as compute_flops."
