point_id,file,model_id,ai_cost_usd,ai_cost_basis,ai_cost_date,human_cost_usd,human_cost_basis,price_rows_used,evidence_note,derivation
agen-epoch-swebench-dsv4promax-lt15m,points.csv,deepseek-v4-pro-preview,0.237902,list_price,2026-06-18,,not_available,"list-prices.csv deepseek-v4-pro-preview / deepseek / 2026-04-24..open : in 1.32, cached 0.044, write -, out 3.96",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 185 completed evaluations; fresh 20843114, cached read 165754112, cache write 0, output 2324699."
agen-epoch-swebench-dsv4promax-15m1h,points.csv,deepseek-v4-pro-preview,0.453457,list_price,2026-06-18,,not_available,"list-prices.csv deepseek-v4-pro-preview / deepseek / 2026-04-24..open : in 1.32, cached 0.044, write -, out 3.96",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 55537421, cached read 455127552, cache write 0, output 5515931."
agen-epoch-swebench-gemini25pro-lt15m,points.csv,gemini-2.5-pro,0.477357,list_price,2026-02-13,,not_available,"list-prices.csv gemini-2.5-pro / google / 2025-04-04..open : in 1.25, cached 0.125, write -, out 10",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 184 completed evaluations; fresh 37321227, cached read 84561267, cache write 0, output 3061196."
agen-epoch-swebench-gemini25pro-15m1h,points.csv,gemini-2.5-pro,1.14387,list_price,2026-02-13,,not_available,"list-prices.csv gemini-2.5-pro / google / 2025-04-04..open : in 1.25, cached 0.125, write -, out 10",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 131983509, cached read 303726282, cache write 0, output 8759897."
agen-epoch-swebench-gemini31pro-ct-lt15m,points.csv,gemini-3.1-pro-preview-customtools,1.26484,list_price,2026-02-24,,not_available,"list-prices.csv gemini-3.1-pro-preview-customtools / google / 2026-02-19..open : in 2, cached 0.2, write -, out 12",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 185 completed evaluations; fresh 33627684, cached read 218964791, cache write 0, output 10245517."
agen-epoch-swebench-gemini31pro-ct-15m1h,points.csv,gemini-3.1-pro-preview-customtools,2.18952,list_price,2026-02-24,,not_available,"list-prices.csv gemini-3.1-pro-preview-customtools / google / 2026-02-19..open : in 2, cached 0.2, write -, out 12",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 70349907, cached read 595501787, cache write 0, output 24694728."
agen-epoch-swebench-gemini35flash-lt15m,points.csv,gemini-3.5-flash,0.57047,list_price,2026-06-01,,not_available,"list-prices.csv gemini-3.5-flash / google / 2026-05-19..open : in 1.5, cached 0.15, write -, out 9",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 185 completed evaluations; fresh 46353899, cached read 109705530, cache write 0, output 2172261."
agen-epoch-swebench-gemini35flash-15m1h,points.csv,gemini-3.5-flash,0.731001,list_price,2026-06-01,,not_available,"list-prices.csv gemini-3.5-flash / google / 2026-05-19..open : in 1.5, cached 0.15, write -, out 9",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 73626743, cached read 246174981, cache write 0, output 4256443."
agen-epoch-swebench-gemini3flash-lt15m,points.csv,gemini-3-flash-preview,0.196955,list_price,2026-02-18,,not_available,"list-prices.csv gemini-3-flash-preview / google / 2025-12-17..open : in 0.5, cached 0.05, write -, out 3",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 185 completed evaluations; fresh 41342774, cached read 77291476, cache write 0, output 3966906."
agen-epoch-swebench-gemini3flash-15m1h,points.csv,gemini-3-flash-preview,0.301403,list_price,2026-02-18,,not_available,"list-prices.csv gemini-3-flash-preview / google / 2025-12-17..open : in 0.5, cached 0.05, write -, out 3",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 78319108, cached read 239862737, cache write 0, output 8467899."
agen-epoch-swebench-gemini3pro-lt15m,points.csv,gemini-3-pro,0.925251,list_price,2026-02-13,,not_available,"list-prices.csv gemini-3-pro / google / 2025-11-18..open : in 2, cached 0.2, write -, out 12",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 185 completed evaluations; fresh 34251818, cached read 325758494, cache write 0, output 3126339."
agen-epoch-swebench-gemini3pro-15m1h,points.csv,gemini-3-pro,1.45004,list_price,2026-02-13,,not_available,"list-prices.csv gemini-3-pro / google / 2025-11-18..open : in 2, cached 0.2, write -, out 12",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 65290595, cached read 834754509, cache write 0, output 5898141."
agen-epoch-swebench-glm5-lt15m,points.csv,glm-5,0.492068,list_price,2026-02-15,,not_available,"list-prices.csv glm-5 / zai / 2026-02-11..open : in 1, cached 0.2, write -, out 3.2",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 180 completed evaluations; fresh 20195748, cached read 284200256, cache write 0, output 3605125."
agen-epoch-swebench-glm5-15m1h,points.csv,glm-5,0.746566,list_price,2026-02-15,,not_available,"list-prices.csv glm-5 / zai / 2026-02-11..open : in 1, cached 0.2, write -, out 3.2",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 238 completed evaluations; fresh 50827338, cached read 529575680, cache write 0, output 6543790."
agen-epoch-swebench-glm52max-lt15m,points.csv,glm-5.2,0.460462,list_price,2026-06-25,,not_available,"list-prices.csv glm-5.2 / zai / 2026-06-16..open : in 1.4, cached 0.26, write -, out 4.4",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 184 completed evaluations; fresh 6426792, cached read 227199680, cache write 0, output 3785351."
agen-epoch-swebench-glm52max-15m1h,points.csv,glm-5.2,0.955129,list_price,2026-06-25,,not_available,"list-prices.csv glm-5.2 / zai / 2026-06-16..open : in 1.4, cached 0.26, write -, out 4.4",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 16460107, cached read 691436160, cache write 0, output 9042106."
agen-epoch-swebench-gpt41-lt15m,points.csv,gpt-4.1-2025-04-14,0.302103,list_price,2026-02-08,,not_available,"list-prices.csv gpt-4.1-2025-04-14 / openai / 2025-04-14..open : in 2, cached 0.5, write -, out 8",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 184 completed evaluations; fresh 12823233, cached read 55212544, cache write 0, output 291779."
agen-epoch-swebench-gpt51codex-lt15m,points.csv,gpt-5.1-2025-11-13,0.285952,list_price,2026-02-17,,not_available,"list-prices.csv gpt-5.1-2025-11-13 / openai / 2025-11-13..open : in 1.25, cached 0.125, write -, out 10",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 185 completed evaluations; fresh 11947340, cached read 147699072, cache write 0, output 1950449."
agen-epoch-swebench-gpt51codex-15m1h,points.csv,gpt-5.1-2025-11-13,0.438097,list_price,2026-02-17,,not_available,"list-prices.csv gpt-5.1-2025-11-13 / openai / 2025-11-13..open : in 1.25, cached 0.125, write -, out 10",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 24766578, cached read 334267520, cache write 0, output 3853497."
agen-epoch-swebench-gpt51high-lt15m,points.csv,gpt-5.1-2025-11-13,0.909101,list_price,2026-02-18,,not_available,"list-prices.csv gpt-5.1-2025-11-13 / openai / 2025-11-13..open : in 1.25, cached 0.125, write -, out 10",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 185 completed evaluations; fresh 56400240, cached read 177281920, cache write 0, output 7552323."
agen-epoch-swebench-gpt51high-15m1h,points.csv,gpt-5.1-2025-11-13,1.36182,list_price,2026-02-18,,not_available,"list-prices.csv gpt-5.1-2025-11-13 / openai / 2025-11-13..open : in 1.25, cached 0.125, write -, out 10",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 110239070, cached read 345996800, cache write 0, output 16485285."
agen-epoch-swebench-gpt52high-lt15m,points.csv,gpt-5.2-2025-12-11,0.914089,list_price,2026-02-12,,not_available,"list-prices.csv gpt-5.2-2025-12-11 / openai / 2025-12-11..open : in 1.75, cached 0.175, write -, out 14",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 185 completed evaluations; fresh 44759211, cached read 112244992, cache write 0, output 5081064."
agen-epoch-swebench-gpt52high-15m1h,points.csv,gpt-5.2-2025-12-11,1.48835,list_price,2026-02-12,,not_available,"list-prices.csv gpt-5.2-2025-12-11 / openai / 2025-12-11..open : in 1.75, cached 0.175, write -, out 14",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 90366267, cached read 272117760, cache write 0, output 12305593."
agen-epoch-swebench-gpt53codex-lt15m,points.csv,gpt-5-3-codex,0.386755,list_price,2026-02-25,,not_available,"list-prices.csv gpt-5-3-codex / openai / 2026-02-05..open : in 1.75, cached 0.175, write -, out 14",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 185 completed evaluations; fresh 24528805, cached read 34271104, cache write 0, output 1616202."
agen-epoch-swebench-gpt53codex-15m1h,points.csv,gpt-5-3-codex,0.62672,list_price,2026-02-25,,not_available,"list-prices.csv gpt-5-3-codex / openai / 2026-02-05..open : in 1.75, cached 0.175, write -, out 14",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 254 completed evaluations; fresh 50415981, cached read 87800960, cache write 0, output 3970990."
agen-epoch-swebench-gpt54high-lt15m,points.csv,gpt-5.4-2026-03-05,0.450485,list_price,2026-03-06,,not_available,"list-prices.csv gpt-5.4-2026-03-05 / openai / 2026-03-05..open : in 2.5, cached 0.25, write -, out 15",research/epoch-swebench-bins.md,"Inspect model_usage per instance summed over the bin, priced at list and divided by 185 completed evaluations; fresh 13412444, cached read 40718080, cache write 0, output 2641937."
