model_id,model,company,model_release_date,model_release_source,flops_per_token,flops_per_token_method,active_parameters,active_parameters_basis,encoder_parameters,encoder_parameters_basis,decoder_parameters,decoder_parameters_basis,parameter_source,notes
claude-opus-4-1,Claude Opus 4.1,Anthropic,2025-08-05,https://www.anthropic.com/news/claude-opus-4-1,360000000000.0,two_active_parameters,180000000000.0,estimated,not_applicable,not_applicable,not_applicable,not_applicable,https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus; research/epoch/epoch-native-families.md#model-assumptions,"Estimated active size from model-specific throughput and calibrated effective bandwidth, assuming FP8 weights; not provider-reported. Precision and serving assumptions are uncertain; see computation source."
claude-sonnet-4,Claude Sonnet 4,Anthropic,2025-05-22,https://www.anthropic.com/news/claude-4,200000000000,two_active_parameters,100000000000,estimated,not_applicable,not_applicable,not_applicable,not_applicable,https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus; research/16x-eval/16x-eval.md#model-coefficients,100B active parameters transfers the Sonnet 4.5 throughput estimate to Sonnet 4; architecture is not disclosed. Sensitivity 50B–200B.
gpt-5-chat,GPT-5 Chat (August 2025),OpenAI,2025-08-07,https://openai.com/index/introducing-gpt-5-for-developers/,200000000000,two_active_parameters,100000000000,estimated,not_applicable,not_applicable,not_applicable,not_applicable,https://epochai.substack.com/p/notes-on-gpt-5-training-compute; research/strawberry.md#model-assumptions,"Non-reasoning GPT-5 Chat endpoint; distinct from the GPT-5 reasoning model. The 100B active-size value is a weak family transfer, not a disclosed size."
gpt-5-mini-2025-08-07,GPT-5 mini 2025-08-07,OpenAI,2025-08-07,https://developers.openai.com/api/docs/changelog,40000000000,two_active_parameters,20000000000,estimated,not_applicable,not_applicable,not_applicable,not_applicable,https://epoch.ai/data-insights/ai-capabilities-progress-has-sped-up; research/epoch/epoch-native-final-models.md#gpt-5-mini-2025-08-07,Assumed small-reasoning-model scale transferred from Epoch's 10–30B-active o4-mini estimate; no GPT-5 mini architecture disclosure.
gpt-5-nano,GPT-5 nano,OpenAI,2025-08-07,https://openai.com/index/introducing-gpt-5-for-developers/,16000000000,two_active_parameters,8000000000,estimated,not_applicable,not_applicable,not_applicable,not_applicable,https://cbowdon.github.io/posts/gpt-params/index.html; https://mistral.ai/news/ministraux/; research/strawberry.md#model-assumptions,"Weak transfer of the GPT-4.1 nano small-model prior, anchored to the named Ministral 8B comparator. GPT-5 nano architecture is undisclosed."
gemini-2.5-flash,Gemini 2.5 Flash,Google,2025-06-17,https://developers.googleblog.com/en/gemini-2-5-thinking-model-updates/,80000000000,two_active_parameters,40000000000,estimated,not_applicable,not_applicable,not_applicable,not_applicable,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf; https://huggingface.co/deepseek-ai/DeepSeek-V3; https://mistral.ai/news/mixtral-8x22b/; research/strawberry.md#model-assumptions,"Stable June endpoint. The 40B active estimate transfers the efficient-MoE peer scale of DeepSeek-V3 (37B) and Mixtral 8x22B (39B), consistent with other Flash priors."
gemini-2.5-pro,Gemini 2.5 Pro,Google DeepMind,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog#june-17-2025,200000000000.0,two_active_parameters,100000000000.0,estimated,not_applicable,not_applicable,not_applicable,not_applicable,https://epochai.substack.com/p/notes-on-gpt-5-training-compute; research/epoch/epoch-native-families.md#model-assumptions,Estimated active size transferred from an explicitly identified family or frontier-peer anchor; not provider-reported. Factor-two sensitivity in computation source. Release date identifies the stable API endpoint; Google states that its model is unchanged from the June 5 preview.
kimi-k2-instruct,Kimi K2 Instruct (0711),Moonshot AI,2025-07-11,https://openrouter.ai/moonshotai/kimi-k2; https://huggingface.co/moonshotai/Kimi-K2-Instruct,64000000000,two_active_parameters,32000000000,reported,not_applicable,not_applicable,not_applicable,not_applicable,https://huggingface.co/moonshotai/Kimi-K2-Instruct#2-model-summary,"Original July 2025 Instruct release, requested as moonshotai/kimi-k2; excludes later 0905 and thinking revisions."
gpt-oss-120b,gpt-oss-120b,OpenAI,2025-08-05,https://openai.com/index/introducing-gpt-oss/,10200000000,two_active_parameters,5100000000,reported,not_applicable,not_applicable,not_applicable,not_applicable,https://openai.com/index/introducing-gpt-oss/,Active MoE parameters; total parameter count is not the token coefficient.
gpt-oss-20b,gpt-oss-20b,OpenAI,2025-08-05,https://openai.com/index/introducing-gpt-oss/,7200000000,two_active_parameters,3600000000,reported,not_applicable,not_applicable,not_applicable,not_applicable,https://openai.com/index/introducing-gpt-oss/; https://cdn.openai.com/pdf/419b6906-9da6-406c-a19d-1bb078ac7637/oai_gpt-oss_model_card.pdf,Rounded reported active parameter count; 20.9B total and 3.61B active in the detailed model-card table.
