model_id,model,current_active_prior,proposed_active_central,proposed_low,proposed_high,total_parameters_if_known,architecture,basis_type,confidence,key_sources,notes
gemini-1.0-pro-001,gemini-1.0-pro-001,70000000000,70000000000,20000000000,200000000000,,dense,family_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf; Epoch AI all_ai_models.csv (2026-09-13),"Gemini 1.0 report describes the family as Transformer decoders with no mention of MoE, in contrast to the 1.5 report; only Nano-1 1.8B and Nano-2 3.25B are given. Pre-training took 'a matter of weeks, leveraging a fraction of the Ultra's resources'. Hold the value, widen the range."
gemini-1.5-pro-001,gemini-1.5-pro-001,100000000000,100000000000,35000000000,250000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf; Epoch AI all_ai_models.csv (2026-09-13),"1.5 report discloses sparse MoE, no count. 2024 disclosed peers span 37B (DeepSeek-V3) to 115B (Grok-2). Google's own GLaM precedent (1.2T total, 97B active) supports the high end. Hold 100B, state 35-250B on every Pro row."
gemini-1.5-pro-002,gemini-1.5-pro-002,100000000000,100000000000,35000000000,250000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf; Epoch AI all_ai_models.csv (2026-09-13),Same as gemini-1.5-pro-001; no evidence distinguishes the September revision.
gemini-1.5-pro-naturalplan,Gemini 1.5 Pro (Natural Plan; unspecified revision),100000000000,100000000000,35000000000,250000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf; Epoch AI all_ai_models.csv (2026-09-13),Same as gemini-1.5-pro-001. The unresolved API revision is a separate problem from the size prior and the row already records it.
gemini-1.5-flash-001,gemini-1.5-flash-001,27000000000,27000000000,12000000000,40000000000,,dense,family_transfer,B,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf; https://developers.googleblog.com/en/gemini-15-flash-8b-is-now-generally-available-for-use/; https://huggingface.co/google/gemma-2-27b-it,"Upgrade from C to B without changing the value. 1.5 report says Flash is a dense transformer decoder online-distilled from 'the much larger' 1.5 Pro, so a dense Gemma-class count is the right shape as well as the right scale. Price anchor agrees: $0.075/1M input against Flash-8B's $0.0375 on an officially 8B model."
gemini-1.5-flash-002,gemini-1.5-flash-002,27000000000,27000000000,12000000000,40000000000,,dense,family_transfer,B,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf; https://developers.googleblog.com/en/gemini-15-flash-8b-is-now-generally-available-for-use/,Same as gemini-1.5-flash-001.
gemini-1.5-flash-8b-001,gemini-1.5-flash-8b-001,8000000000,8000000000,7000000000,9000000000,8e9,dense,developer_statement,A,https://developers.googleblog.com/en/gemini-15-flash-8b-is-now-generally-available-for-use/; https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,Change active_parameters_basis from estimated to reported. Google's developer blog calls it 'an 8 billion parameter version of the Gemini 1.5 Flash model'; the 1.5 report puts it in the 'single-digit billion parameter' class. Keep the existing note that separate multimodal components are not quantified.
gemini-2.0-pro-exp-02-05,gemini-2.0-pro-exp-02-05,100000000000,100000000000,40000000000,250000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf; Epoch AI all_ai_models.csv (2026-09-13),Hold. Same reasoning as the 1.5 and 2.5 Pro rows.
gemini-2.0-flash-001,gemini-2.0-flash-001,40000000000,25000000000,10000000000,55000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf; https://ai.google.dev/gemini-api/docs/pricing; https://artificialanalysis.ai/models; Epoch AI all_ai_models.csv (2026-09-13),"CHANGE 1.6x down. The 40B prior transferred DeepSeek-V3 (37B) and Mixtral 8x22B (39B), the top of the 2024 distribution. Disclosed 2025-26 models in the same price and speed band run 10-32B. Google's 2.5 price ladder anchored on a 100B Pro gives 24B. Priced identically to 2.5 Flash."
gemini-2.5-pro,Gemini 2.5 Pro,100000000000,100000000000,40000000000,250000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf; https://artificialanalysis.ai/models; Epoch AI all_ai_models.csv (2026-09-13),"Hold. 2.5 report confirms sparse MoE and that Flash and below are distilled, implying Pro is the teacher, but gives no count. 120.7 output tokens/s is consistent with 70-320B depending on sharding."
gemini-2.5-pro-preview-06-05,Gemini 2.5 Pro Preview 06-05,100000000000,100000000000,40000000000,250000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf; Epoch AI all_ai_models.csv (2026-09-13),Same as gemini-2.5-pro.
gemini-2.5-pro-03-25,Gemini 2.5 Pro 03-25 (exp-03-25 and preview-03-25 endpoints),100000000000,100000000000,40000000000,250000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf; Epoch AI all_ai_models.csv (2026-09-13),Same as gemini-2.5-pro. This row is in claude-rows/models.csv.
gemini-2.5-flash,Gemini 2.5 Flash,40000000000,25000000000,10000000000,55000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf; https://ai.google.dev/gemini-api/docs/pricing; https://artificialanalysis.ai/models; Epoch AI all_ai_models.csv (2026-09-13),"CHANGE 1.6x down. Three lines agree on 25B: the 2.5 price ladder on a 100B Pro gives 24B; ~280 output tokens/s against Kimi K2 Thinking's 82 at a disclosed 32B active; $0.30/1M input against DeepSeek's own $0.27 for a 37B-active model, and Google is not selling at cost."
gemini-2.5-flash-preview-05-20,Gemini 2.5 Flash preview 05-20,40000000000,25000000000,10000000000,55000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf; https://ai.google.dev/gemini-api/docs/pricing; https://artificialanalysis.ai/models,CHANGE 1.6x down. Same as gemini-2.5-flash; Google reports no model change between the May preview and the June stable release.
gemini-3-pro,Gemini 3 Pro,100000000000,130000000000,50000000000,320000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf; https://artificialanalysis.ai/models; Epoch AI all_ai_models.csv (2026-09-13),"1.3x up, below the flagging threshold and below the resolution of the evidence; holding at 100B is defensible. The case for moving: the top disclosed active count went from 37B in 2024 to 95-104B in 2026 on 2.4-2.8T-total models, and closed flagships are generally larger than the open frontier. Against: 128 output tokens/s is no faster than 2.5 Pro's 120.7."
gemini-3.1-pro-preview,Gemini 3.1 Pro preview,100000000000,130000000000,50000000000,320000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf; https://ai.google.dev/gemini-api/docs/pricing; Epoch AI all_ai_models.csv (2026-09-13),Same as gemini-3-pro.
gemini-3.1-pro-preview-customtools,Gemini 3.1 Pro preview customtools,100000000000,130000000000,50000000000,320000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf; Epoch AI all_ai_models.csv (2026-09-13),"Same as gemini-3.1-pro-preview; a separate endpoint, not a separate weight identity."
gemini-3-deep-think-preview,Gemini 3 Deep Think preview (November 2025 evaluation),100000000000,130000000000,50000000000,320000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf; Epoch AI all_ai_models.csv (2026-09-13),"Same as gemini-3-pro. Deep Think is a serving mode over more tokens, not a different weight identity; the row already applies the coefficient to reported aggregate tokens."
gemini-3-flash-preview,Gemini 3 Flash preview,40000000000,40000000000,15000000000,90000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Flash-Model-Card.pdf; https://ai.google.dev/gemini-api/docs/pricing; https://artificialanalysis.ai/models,"Hold, deliberately not cut alongside the 2.x Flash rows. The Flash tier repriced between generations: $0.50/1M input at launch against 2.5 Flash's $0.30, and 218 output tokens/s against 2.5 Flash's ~280. The 3.x ladder on a 130B Pro gives about 33B."
gemini-3.5-flash,Gemini 3.5 Flash,40000000000,40000000000,15000000000,90000000000,,sparse MoE,peer_transfer,C,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Flash-Model-Card.pdf; https://ai.google.dev/gemini-api/docs/pricing; https://artificialanalysis.ai/models,"Hold. Priced at $1.50/$9.00, above Gemini 2.5 Pro, at 221 output tokens/s. Cross-generation price comparison is capability pricing and unusable; the within-3.5 ladder against Flash-Lite's $0.30 is 5x."
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite preview,20000000000,20000000000,6000000000,45000000000,,sparse MoE,peer_transfer,C,https://ai.google.dev/gemini-api/docs/pricing; Epoch AI all_ai_models.csv (2026-09-13),"Hold the value, add the range. The 3.1 ladder at $0.25 input against 3.1 Pro's $2.00 gives 16B on a 130B Pro; half of Gemini 3 Flash's $0.50 gives 20B. Disclosed models in the Lite band run 3.6-18B, so the low end is live in a way the row does not currently convey. This row is in claude-rows/models.csv."
grok-2-1212,grok-2-1212,115000000000,115000000000,114000000000,116000000000,2.69515497472e11,"sparse MoE (8 experts, top-2, plus always-on shared MLP)",architecture_derived,A,https://huggingface.co/xai-org/grok-2/raw/main/config.json; https://huggingface.co/xai-org/grok-2/discussions/24,"Hold. Released weights give 269515497472 total and 115019056768 active; summing the config reproduces both (1.1489e11 and 2.6951e11). Keep basis estimated because the link from the released weights to the 1212 API revision is unconfirmed, as the row already notes. Sparsity is only 2.35x, the lowest in the reference class, with 62% of active parameters in the shared MLP - which is why transferring this number forward is wrong."
