model_id,registry,current_active,new_active,new_flops_per_token,new_basis,low,high,basis_type,source_report,notes_text
gpt-6-astra,claude-rows,100000000000,300000000000,600000000000,estimated,100000000000,600000000000,inference_economics + price_ratio,research/model-priors/openai.md; research/model-priors/pricing-crosscheck.md,"300B active is a judgment on the 2026-09 pricing cross-check, not an OpenAI disclosure: the price column's own central is 250B and equalizing Astra's markup against OpenAI's own ladder gives 333B. Sensitivity 100-600B, moving dependent FLOPs 0.33x to 2.0x. Recurrent-depth decoding would multiply the coefficient by undisclosed passes."
openai-ns-2026-09-internal,claude-rows,100000000000,300000000000,600000000000,estimated,100000000000,800000000000,family_transfer,research/model-priors/openai.md,"Never publicly released, so no availability date is established. Described only as significantly more capable than GPT-6 Astra, in training since 2026-08-28; agents moved to a further-trained version mid-run, so this record covers two checkpoints as one identity. Active count is tied to gpt-6-astra at 300B; sensitivity 100-800B."
anthropic-internal-research-flt-2026-08,claude-rows,100000000000,150000000000,300000000000,estimated,55000000000,400000000000,anchor_class_transfer,research/model-priors/anthropic.md,"Identity unresolved: an internal Anthropic research model, never released or named, described only as roughly comparable to Claude Fable 5.1, the comparability anchor rather than the model. Both release fields are blank: it was never public. 150B active transfers the Fable-class anchor; 55-400B moves dependent FLOPs 0.37x to 2.7x."
claude-haiku-4-5,claude-rows,20000000000,40000000000,80000000000,estimated,15000000000,80000000000,throughput_bandwidth + capability_tier,research/model-priors/anthropic.md,"40B active is a serving-throughput and capability-tier estimate, not a disclosure; it places Haiku 4.5 with its Flash-class peers rather than with Haiku 3. Sensitivity 15-80B, moving dependent FLOPs 0.38x to 2.0x."
gpt-5-6-sol,codex,100000000000,150000000000,300000000000,estimated,60000000000,400000000000,inference_economics,research/model-priors/openai.md,"150B active is an inference-economics estimate off the September 2026 price and decode-speed ladder; no architecture size is disclosed. Sensitivity 60-400B, moving dependent FLOPs 0.4x to 2.7x. Source benchmark does not give an exact effort or API revision."
claude-3-opus-20240229,codex,180000000000,300000000000,600000000000,estimated,120000000000,600000000000,training_compute_route + peer_anchor,research/model-priors/anthropic.md,"300B active is a training-compute route at era-appropriate token-to-parameter ratios, checked against 2024 peer disclosures; it replaces a backward transfer from Opus 4 serving-bandwidth estimates. Sensitivity 120-600B, moving dependent FLOPs 0.4x to 2.0x."
claude-3-5-haiku-20241022,codex,20000000000,30000000000,60000000000,estimated,12000000000,60000000000,price_step,research/model-priors/anthropic.md,"30B active is read off the price step over Haiku 3 at launch, not a disclosure; the earlier value was a flat transfer from the Haiku 3 prior. Sensitivity 12-60B, moving dependent FLOPs 0.4x to 2.0x."
grok-3-beta,codex,115000000000,200000000000,400000000000,estimated,80000000000,450000000000,peer_transfer,research/model-priors/google-xai-others.md,"200B active transfers the 2025 frontier peer scale; the earlier 115B was the released Grok 2 architecture carried forward, which understates a generation step. Sensitivity 80-450B, moving dependent FLOPs 0.4x to 2.25x. API changelog says April 3; Epoch lists April 9."
grok-4,codex,115000000000,200000000000,400000000000,estimated,80000000000,450000000000,peer_transfer,research/model-priors/google-xai-others.md,"200B active transfers the 2025 frontier peer scale; the earlier 115B was the released Grok 2 architecture carried forward. Sensitivity 80-450B, moving dependent FLOPs 0.4x to 2.25x. Exact helper API revision is unreported. The later Grok 4.20 record is held at 115B pending its own evidence."
gemini-2.0-flash-001,codex,40000000000,25000000000,50000000000,estimated,10000000000,55000000000,peer_transfer,research/model-priors/google-xai-others.md,"25B active transfers the disclosed efficient-MoE peer scale at Flash pricing and decode speed; Gemini expert sizes and routing are undisclosed. Sensitivity 10-55B, moving dependent FLOPs 0.4x to 2.2x."
gemini-2.5-flash,codex,40000000000,25000000000,50000000000,estimated,10000000000,55000000000,peer_transfer,research/model-priors/google-xai-others.md,"Stable June endpoint. 25B active transfers the disclosed efficient-MoE peer scale at Flash pricing and decode speed; Gemini expert sizes and routing are undisclosed. Sensitivity 10-55B, moving dependent FLOPs 0.4x to 2.2x."
gemini-2.5-flash-preview-05-20,codex,40000000000,25000000000,50000000000,estimated,10000000000,55000000000,peer_transfer,research/model-priors/google-xai-others.md,"May 20 preview; Google reports no model change for the June 17 stable release. 25B active transfers the disclosed efficient-MoE peer scale at Flash pricing and decode speed. Sensitivity 10-55B, moving dependent FLOPs 0.4x to 2.2x."
