point_id,ai_cost_usd,ai_cost_basis,ai_cost_date,human_cost_usd,human_cost_basis,evidence
agen-epoch-swebench-dsv4promax,0.402895,list_price,2026-06-18,,not_available,"Epoch Inspect log, run 2026-06-18; summed sample usage in 93,494,654@1.32 +cacheread 775,633,408@0.044 +out 9,358,007@3.96 per M (deepseek sheet 2026-04-24); total $194.60 / 483 completed samples. Graders excluded. Observed usage only: the row's compute adds an estimated missing-work allowance of 0.3% that this cost excludes. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gemini25pro,0.941689,list_price,2026-02-13,,not_available,"Epoch Inspect log, run 2026-02-13; summed sample usage in 204,918,479@1.25 +cacheread 468,817,032@0.125 +out 14,008,562@10.0 per M (google sheet 2025-04-04); total $454.84 / 483 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gemini31pro-ct,1.9573,list_price,2026-02-24,,not_available,"Epoch Inspect log, run 2026-02-24; summed sample usage in 125,150,299@2.0 +cacheread 1,039,853,655@0.2 +out 40,754,962@12.0 per M (google sheet 2026-02-19); total $947.33 / 484 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gemini35flash,0.703281,list_price,2026-06-01,,not_available,"Epoch Inspect log, run 2026-06-01; summed sample usage in 137,691,740@1.5 +cacheread 438,116,660@0.15 +out 7,570,316@9.0 per M (google sheet 2026-05-19); total $340.39 / 484 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gemini3flash,0.279015,list_price,2026-02-19,,not_available,"Epoch Inspect log, run 2026-02-19; summed sample usage in 140,025,605@0.5 +cacheread 446,939,896@0.05 +out 14,227,761@3.0 per M (google sheet 2025-12-17); total $135.04 / 484 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gemini3pro,1.35628,list_price,2026-02-13,,not_available,"Epoch Inspect log, run 2026-02-13; summed sample usage in 118,078,799@2.0 +cacheread 1,458,153,901@0.2 +out 10,720,854@12.0 per M (google sheet 2025-11-18); total $656.44 / 484 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-glm5,0.699625,list_price,2026-02-16,,not_available,"Epoch Inspect log, run 2026-02-16; summed sample usage in 89,745,337@1.0 +cacheread 975,887,936@0.2 +out 11,969,879@3.2 per M (zai sheet 2026-02-11); total $323.23 / 462 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-glm52max,0.887777,list_price,2026-06-25,,not_available,"Epoch Inspect log, run 2026-06-25; summed sample usage in 28,029,103@1.4 +cacheread 1,238,851,264@0.26 +out 15,330,555@4.4 per M (zai sheet 2026-06-16); total $428.80 / 483 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gpt41,0.49445,list_price,2026-02-09,,not_available,"Epoch Inspect log, run 2026-02-09; summed sample usage in 47,067,224@2.0 +cacheread 267,738,240@0.5 +out 1,166,576@8.0 per M (openai sheet 2025-04-14); total $237.34 / 480 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gpt51high,1.24533,list_price,2026-02-18,,not_available,"Epoch Inspect log, run 2026-02-18; summed sample usage in 193,556,961@1.25 +cacheread 622,067,456@0.125 +out 28,303,740@10.0 per M (openai sheet 2025-11-13); total $602.74 / 484 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
