model_id,model,current_active_prior,proposed_active_central,proposed_low,proposed_high,total_parameters_if_known,architecture,basis_type,confidence,key_sources,notes
claude-2.0,claude-2.0,100000000000,130000000000,60000000000,250000000000,—,undisclosed; dense assumed for the era,training_compute_route,C,research/external/epoch/notable_ai_models.csv (Epoch notable models; Parameters empty for all 18 Claude rows); Epoch training compute 3.866e24 FLOP (Speculative); https://lifearchitect.substack.com/p/the-memo-17jul2023,"Route C at era-appropriate R=20-46 gives 118-180B; Thompson's uncited 130B lands in the same place. Replaces a backward transfer from later Sonnet estimates. 1.3x change, below any threshold that moves a conclusion."
claude-2.1,claude-2.1,100000000000,130000000000,60000000000,250000000000,—,undisclosed; dense assumed for the era,training_compute_route,C,research/external/epoch/notable_ai_models.csv (Epoch notable models; Parameters empty for all 18 Claude rows); Epoch training compute 3.866e24 FLOP for Claude 2 (Speculative),Shares Claude 2.0's value; Anthropic described 2.1 as a context-length and accuracy release and no evidence distinguishes their sizes.
claude-3-opus-20240229,claude-3-opus-20240229,180000000000,300000000000,120000000000,600000000000,"1.9e12 (peer-anchored, not reported)",undisclosed; MoE inferred from GPT-4-class peers,training_compute_route + peer_anchor,C,research/external/epoch/notable_ai_models.csv (Epoch notable models; Parameters empty for all 18 Claude rows); Epoch training compute 1.64e25 FLOP (Speculative); https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; GPT-4 leaked ~1.8T total / ~280B active,"LARGEST PROPOSED CHANGE, 1.67x up. Current 180B is transferred from Opus 4/4.1 across two hardware eras, a BF16-to-FP8 precision change and the 2024-25 industry shrink, in the wrong direction. Route C gives 244B at GPT-4's R=46 and 370B at Chinchilla R=20; the GPT-4 peer read gives 260-510B; Epoch says the scale-down from Claude 3 Opus to current frontier models is close to an order of magnitude, which 1.8x is not. Partially reverses the existing note's rejection of an upward move, which rejected Thompson's 2T-times-quarter chain rather than this one."
claude-3-sonnet-20240229,claude-3-sonnet-20240229,100000000000,100000000000,40000000000,200000000000,—,undisclosed,family_transfer,C,https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://epoch.ai/gradient-updates/how-much-energy-does-chatgpt-use; https://lifearchitect.substack.com/p/the-memo-special-edition-claude-3,"No training-compute estimate and no throughput series, so no route applies. Thompson's uncited 70B is the only model-specific figure; I would not defend 100B against it."
claude-3-haiku-20240307,claude-3-haiku-20240307,20000000000,20000000000,8000000000,45000000000,—,undisclosed; dense assumed at this scale,small_tier_prior,C,https://www.anthropic.com/news/claude-3-haiku; https://epoch.ai/data-insights/ai-capabilities-progress-has-sped-up; https://lifearchitect.substack.com/p/the-memo-special-edition-claude-3,"Weakest-evidenced row in the family and I could not improve it. Retains Thompson's uncited 20B, checked only against Epoch's 10-30B o4-mini range."
claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,100000000000,100000000000,50000000000,250000000000,"4.0e11 (Epoch estimate, inference-economics guess not architecture)",undisclosed,total_times_activation_convention,C,https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://epoch.ai/gradient-updates/how-much-energy-does-chatgpt-use; https://arxiv.org/html/2412.19260v1; https://darioamodei.com/on-deepseek-and-export-controls,"Range widened upward from 50-200B to carry route C (106-313B over R=400 to R=46 on Epoch's 2.7e25) and MEDEC's uncited 'approximately 175B'. I weight MEDEC near zero: its authors disclaim the numbers as context-only estimates, and 175B is GPT-3's count, the commonest placeholder for a closed model."
claude-3-5-sonnet-20241022,Claude 3.5 Sonnet New,100000000000,100000000000,50000000000,250000000000,4.0e11 (Epoch estimate),undisclosed,total_times_activation_convention,C,https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller; https://epoch.ai/gradient-updates/how-much-energy-does-chatgpt-use; https://arxiv.org/html/2412.19260v1,Same as the June snapshot. This is the exact model MEDEC labels 'approximately 175B parameters'; see that row's note for why it is not used.
claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,20000000000,30000000000,12000000000,60000000000,—,undisclosed,price_step,C,https://techcrunch.com/2024/11/04/anthropic-hikes-the-price-of-its-haiku-model; https://www.anthropic.com/news/3-5-models-and-computer-use,"1.5x change, the weakest of the four proposed. Anthropic raised the price fourfold over Haiku 3 and said it was 'to reflect its increase in intelligence', and reported it surpassing Claude 3 Opus on many benchmarks. Against it: the price was cut 20% five weeks later, and capability gains at fixed size defined the period. A 1.5x move on a 4x price move is deliberately conservative."
claude-3-7-sonnet,Claude 3.7 Sonnet,100000000000,100000000000,50000000000,250000000000,—,undisclosed,family_transfer,C,research/external/epoch/notable_ai_models.csv (Epoch notable models; Parameters empty for all 18 Claude rows); Epoch training compute 3.35e25 FLOP (Likely); https://epoch.ai/gradient-updates/frontier-language-models-have-become-much-smaller,"Epoch's best-graded compute figure for any Claude model, but route C converts it to 118-348B over the live R range, so it does not constrain the central. No throughput series covers it."
claude-opus-4,Claude Opus 4,180000000000,180000000000,80000000000,360000000000,—,undisclosed; MoE inferred from the throughput-to-total expansion,throughput_bandwidth,B-,https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus; https://venturebeat.com/technology/anthropics-claude-opus-4-8-is-here-with-3x-cheaper-fast-mode-and-near-mythos-level-alignment; https://www.anthropic.com/news/google-broadcom-partnership-compute,"CHECKED, KEPT, DOWNGRADED. The FP8 arithmetic is right: 4.0-4.5 TB/s over 23 tokens/sec is 174-196B. What it cannot see is that Anthropic runs the same weights at 2.5x speed in fast mode, so the 1.67x Opus 4.1-to-4.5 throughput step that justifies a separate value is smaller than the known serving-policy swing, and it coincides with Project Rainier Trainium2 and the Google TPU expansion. Kept because an independent 3x list-price cut, $15/$75 to $5/$25, crosses the same boundary. Restate the basis as a weak model-specific signal, not a serving-bandwidth measurement."
claude-opus-4-1,Claude Opus 4.1,180000000000,180000000000,80000000000,360000000000,—,undisclosed; MoE inferred,throughput_bandwidth,B-,https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus; https://venturebeat.com/technology/anthropics-claude-opus-4-8-is-here-with-3x-cheaper-fast-mode-and-near-mythos-level-alignment,24 tokens/sec on Vertex gives 167-188B under FP8. Same treatment as Opus 4; see that row.
claude-sonnet-4,Claude Sonnet 4,100000000000,100000000000,45000000000,220000000000,—,undisclosed,family_transfer,C,https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus; https://artificialanalysis.ai/providers/anthropic,"Transfer from Sonnet 4.5's throughput estimate. Artificial Analysis reports no output speed for this model and the Vertex series does not cover it, so no model-specific measurement exists."
claude-sonnet-4-5,Claude Sonnet 4.5,100000000000,100000000000,45000000000,220000000000,—,undisclosed; MoE inferred,throughput_bandwidth,B-,https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus; https://artificialanalysis.ai/models/claude-4-5-sonnet-thinking/providers,"Best-measured Sonnet: 41 tokens/sec on Vertex gives 98-110B, 47.3 on Artificial Analysis gives 85-95B, both bracketing 100B under FP8. Its cross-provider spread, 48.7 t/s on Bedrock against 38.5 on Azure, is the cleanest available measurement of how much of the throughput signal is serving rather than architecture: 1.27x on identical weights."
claude-haiku-4-5,Claude Haiku 4.5,20000000000,40000000000,15000000000,80000000000,—,undisclosed,throughput_bandwidth + capability_tier,C+,https://artificialanalysis.ai/providers/anthropic; https://www.anthropic.com/news/claude-haiku-4-5; https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus,"2x change, the largest downstream effect of any proposal since it doubles every Haiku 4.5 FLOP figure. 85 tokens/sec measured gives 47-53B under the same FP8 calibration the registry already accepts for Opus 4.5; Anthropic claims Sonnet 4-level coding at one third the cost and more than twice the speed; price is exactly one third of Sonnet. Set below the 47-53B reading because route T is least reliable for small models, where launch, collective and scheduler floors stop throughput scaling with size. Anthropic's '4-5 times faster than Sonnet 4.5' claim would imply 20-25B but is inconsistent with the measured 1.8x decode ratio, so it is read as end-to-end."
claude-opus-4-5,Claude Opus 4.5,100000000000,100000000000,50000000000,250000000000,1.66e12-3.27e12 (throughput-derived under assumed sparsity),undisclosed; MoE inferred,throughput_bandwidth,B-,https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus; https://artificialanalysis.ai/models/claude-opus-4-5/providers,"Four readings across two sources bracket 100B: 40 t/s Vertex gives 100-113B, 44.5 t/s Artificial Analysis gives 90-101B. Upper end of the range carries the hybrid FP8/FP4 scenario at 137-165B, which may well be the real one; it is not the central only because nothing establishes the serving precision."
claude-opus-4-6,Claude Opus 4.6,100000000000,100000000000,50000000000,250000000000,1.66e12-3.27e12 (throughput-derived under assumed sparsity),undisclosed; MoE inferred,throughput_bandwidth,B-,https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus; https://artificialanalysis.ai/providers/anthropic,"43 t/s Vertex gives 93-105B, 44.3 t/s Artificial Analysis gives 90-102B. The source rejects 10T-plus totals for this class as requiring sparsity beyond Kimi-style routing."
claude-sonnet-4-6,Claude Sonnet 4.6,100000000000,100000000000,40000000000,210000000000,—,undisclosed; MoE inferred,throughput_bandwidth,B-,https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus; https://artificialanalysis.ai/providers/anthropic,"The two measurement series disagree in direction: 51 t/s Vertex gives 78-88B, 45.9 t/s Artificial Analysis gives 87-98B, a 1.11x disagreement inside the measurement noise. 100B stays as a rounded family prior, which is what the existing registry note already says it is."
claude-opus-4-7,Claude Opus 4.7,100000000000,100000000000,45000000000,250000000000,—,undisclosed; MoE inferred,throughput_bandwidth,C,https://artificialanalysis.ai/providers/anthropic; https://unexcitedneurons.substack.com/p/estimating-the-size-of-claude-opus,"Number unchanged, basis improved: 44 t/s at max effort gives 91-102B, the first model-specific measurement this record has had. It agrees with the 4.5/4.6 transfer the registry currently carries."
claude-opus-4-8,Claude Opus 4.8,100000000000,100000000000,40000000000,240000000000,—,undisclosed; MoE inferred,family_transfer,C,https://artificialanalysis.ai/providers/anthropic; https://venturebeat.com/technology/anthropics-claude-opus-4-8-is-here-with-3x-cheaper-fast-mode-and-near-mythos-level-alignment,"Route T reads it smaller, 58 t/s giving 69-78B, and I decline to encode that. This is the release whose fast mode demonstrates Anthropic pushing serving throughput hard, so a throughput gain is the expected artifact of serving work; and the standard price held at $5/$25 while fast-mode price fell threefold, which is what a serving-side gain looks like. Downward pressure noted, not adopted. Narrows the registry's current 25B-400B sensitivity."
