model_id,model,registry,current_active_prior,proposed_active_central,proposed_low,proposed_high,total_parameters_if_known,architecture,basis_type,confidence,key_sources,change_vs_current,notes
gpt-3-davinci-175b,GPT-3 davinci 175B,dataset,175000000000,174600000000,174600000000,174600000000,1.746e11,dense,disclosed,A,https://arxiv.org/abs/2005.14165; https://epoch.ai/data/all_ai_models.csv,unchanged,"Disclosed and exact. GPT-3 paper Table D.1: 174,600 million parameters; Epoch records 1.746e11 at 'Confident'. Dense, so total equals active. The dataset's 175e9 is the rounded form; 174.6e9 is exact. No change of substance."
text-davinci-002,InstructGPT text-davinci-002,dataset,175000000000,175000000000,175000000000,175000000000,1.75e11,dense,disclosed_via_identity,B,https://arxiv.org/abs/2203.02155; https://epoch.ai/data/all_ai_models.csv,unchanged,"The InstructGPT paper states 'We train three model sizes (1.3B, 6B, and 175B parameters)' and Epoch records InstructGPT 175B at 'Confident'. The residual uncertainty is identity, not size: whether the text-davinci-002 endpoint is that 175B InstructGPT model. OpenAI's model-index documentation places text-davinci-002 in the InstructGPT/GPT-3.5 lineage at davinci scale, and the 'davinci' name is used consistently for the 175B tier. No change."
davinci-002-metr,davinci-002 (METR GPT-3 alias),dataset,175000000000,175000000000,40000000000,175000000000,unknown,unresolved,weak_family_transfer,C,https://epoch.ai/data/all_ai_models.csv; https://arxiv.org/abs/2005.14165,unchanged,"Epoch's row for GPT-3.5 (davinci-002) is 'Speculative' with the note 'Parameter count may be 175B based on OpenAI's statements that text-davinci-003 is in the GPT-3.5 series of models.' One unexplained signal cuts against 175B: OpenAI priced the 2023 davinci-002 endpoint at $2.00 per Mtok against the legacy davinci endpoint's $20.00, a tenfold drop for a model presented as a GPT-3-class base replacement. Some of that is 2023 serving improvements, but not obviously all of it. Central held at 175B because METR uses the alias precisely as its GPT-3 data point and the dataset's identity note follows the source alias; the low bound is dropped to 40B to carry the price anomaly. No central change."
chatgpt-gpt35-2022,Early ChatGPT (GPT-3.5 family; backend revision unspecified),dataset,175000000000,175000000000,40000000000,175000000000,unknown,unresolved,weak_family_transfer,C,https://arxiv.org/abs/2005.14165; https://epoch.ai/data/all_ai_models.csv; https://arxiv.org/abs/2403.09539,unchanged,"Early ChatGPT (Nov 2022) predates gpt-3.5-turbo (Mar 2023) and is generally understood to be a text-davinci-00x-class 175B model rather than the later distilled turbo line. The dataset's note already says 175B is 'a GPT-3-scale proxy, not a disclosed GPT-3.5 size'. If the November 2022 backend was in fact an early turbo-class model, the 12B figure proposed for gpt-3.5-turbo would apply instead, which is why the low bound is wide. No central change."
gpt-3.5-turbo-1106,gpt-3.5-turbo-1106,dataset,7000000000,12000000000,6000000000,25000000000,"~2.5e11 (IKP); 2.0e10 (CODEFUSION, withdrawn)",unresolved_dense_or_moe,conflicting_evidence,C,https://arxiv.org/abs/2403.09539; https://arxiv.org/abs/2310.17680; https://epoch.ai/data/all_ai_models.csv; https://arxiv.org/abs/2604.24827,1.71x up,"Three-way conflict. (1) The softmax-bottleneck measurement (arXiv 2403.09539) recovers d_model = 4096 for gpt-3.5-turbo - a real measurement, not a guess - and the authors infer 'around 7 billion' parameters because 'most known transformer-based LLMs with embedding size 4,096 have approximately 7 billion parameters'. They flag the exception themselves: MoE architectures 'tend to have many more parameters per embedding dimension'. (2) Microsoft's CODEFUSION Table 1 listed 20B; Epoch carries that at 'Likely' confidence, while ALSO recording on its davinci-002 row that the paper 'was reportedly retracted because the authors did not know the parameter count'. That is an internal inconsistency in Epoch's own database. (3) IKP reads 246B TOTAL. All three reconcile under one architecture: an MoE with d_model = 4096, roughly 10-25B active and a couple of hundred B total. The 7B figure is only correct under a dense assumption the measurement does not establish. Raising the central to 12B, the geometric midpoint of 7B and 20B. UP 1.7x - flagged. Applies to the 0125, 1106 and Instruct records alike; the Instruct record already retains 20B and 175B as scenarios."
gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,dataset,7000000000,12000000000,6000000000,25000000000,"~2.5e11 (IKP); 2.0e10 (CODEFUSION, withdrawn)",unresolved_dense_or_moe,conflicting_evidence,C,https://arxiv.org/abs/2403.09539; https://arxiv.org/abs/2310.17680; https://epoch.ai/data/all_ai_models.csv; https://arxiv.org/abs/2604.24827,1.71x up,"Three-way conflict. (1) The softmax-bottleneck measurement (arXiv 2403.09539) recovers d_model = 4096 for gpt-3.5-turbo - a real measurement, not a guess - and the authors infer 'around 7 billion' parameters because 'most known transformer-based LLMs with embedding size 4,096 have approximately 7 billion parameters'. They flag the exception themselves: MoE architectures 'tend to have many more parameters per embedding dimension'. (2) Microsoft's CODEFUSION Table 1 listed 20B; Epoch carries that at 'Likely' confidence, while ALSO recording on its davinci-002 row that the paper 'was reportedly retracted because the authors did not know the parameter count'. That is an internal inconsistency in Epoch's own database. (3) IKP reads 246B TOTAL. All three reconcile under one architecture: an MoE with d_model = 4096, roughly 10-25B active and a couple of hundred B total. The 7B figure is only correct under a dense assumption the measurement does not establish. Raising the central to 12B, the geometric midpoint of 7B and 20B. UP 1.7x - flagged. Applies to the 0125, 1106 and Instruct records alike; the Instruct record already retains 20B and 175B as scenarios."
gpt-3.5-turbo-instruct,GPT-3.5 Turbo Instruct,dataset,7000000000,12000000000,6000000000,25000000000,"~2.5e11 (IKP); 2.0e10 (CODEFUSION, withdrawn)",unresolved_dense_or_moe,conflicting_evidence,C,https://arxiv.org/abs/2403.09539; https://arxiv.org/abs/2310.17680; https://epoch.ai/data/all_ai_models.csv; https://arxiv.org/abs/2604.24827,1.71x up,"Three-way conflict. (1) The softmax-bottleneck measurement (arXiv 2403.09539) recovers d_model = 4096 for gpt-3.5-turbo - a real measurement, not a guess - and the authors infer 'around 7 billion' parameters because 'most known transformer-based LLMs with embedding size 4,096 have approximately 7 billion parameters'. They flag the exception themselves: MoE architectures 'tend to have many more parameters per embedding dimension'. (2) Microsoft's CODEFUSION Table 1 listed 20B; Epoch carries that at 'Likely' confidence, while ALSO recording on its davinci-002 row that the paper 'was reportedly retracted because the authors did not know the parameter count'. That is an internal inconsistency in Epoch's own database. (3) IKP reads 246B TOTAL. All three reconcile under one architecture: an MoE with d_model = 4096, roughly 10-25B active and a couple of hundred B total. The 7B figure is only correct under a dense assumption the measurement does not establish. Raising the central to 12B, the geometric midpoint of 7B and 20B. UP 1.7x - flagged. Applies to the 0125, 1106 and Instruct records alike; the Instruct record already retains 20B and 175B as scenarios."
gpt-4-0314,GPT-4 0314,dataset,275000000000,275000000000,200000000000,350000000000,1.8e12,moe_16_experts_top2,leak_corroborated,B,https://www.semianalysis.com/p/gpt-4-architecture-infrastructure; https://the-decoder.com/gpt-4-architecture-datasets-costs-and-more-leaked/; https://epoch.ai/data/all_ai_models.csv,unchanged,"SemiAnalysis reports 1.8T total with ~280B active per forward pass (16 experts, 2 routed); the-decoder's summary of the same leak gives 1.76T / 220B. Epoch carries 1.8T at 'Likely' confidence and quotes both variants. Independent check: 6 x 2.8e11 x 1.3e13 tokens = 2.2e25 FLOP, matching Epoch's ~2.1e25 training-compute entry, so the leak is self-consistent with independently estimated compute. The dataset's 275B sits inside the 220-280B leak spread. No change."
gpt-4-0613,gpt-4-0613,dataset,275000000000,275000000000,200000000000,350000000000,1.8e12,moe_16_experts_top2,leak_corroborated,B,https://www.semianalysis.com/p/gpt-4-architecture-infrastructure; https://the-decoder.com/gpt-4-architecture-datasets-costs-and-more-leaked/; https://epoch.ai/data/all_ai_models.csv,unchanged,"SemiAnalysis reports 1.8T total with ~280B active per forward pass (16 experts, 2 routed); the-decoder's summary of the same leak gives 1.76T / 220B. Epoch carries 1.8T at 'Likely' confidence and quotes both variants. Independent check: 6 x 2.8e11 x 1.3e13 tokens = 2.2e25 FLOP, matching Epoch's ~2.1e25 training-compute entry, so the leak is self-consistent with independently estimated compute. The dataset's 275B sits inside the 220-280B leak spread. No change."
gpt-4-base-2023-report,GPT-4 base (2023 technical report),dataset,275000000000,275000000000,200000000000,350000000000,1.8e12,moe_16_experts_top2,leak_corroborated,B,https://www.semianalysis.com/p/gpt-4-architecture-infrastructure; https://the-decoder.com/gpt-4-architecture-datasets-costs-and-more-leaked/; https://epoch.ai/data/all_ai_models.csv,unchanged,"SemiAnalysis reports 1.8T total with ~280B active per forward pass (16 experts, 2 routed); the-decoder's summary of the same leak gives 1.76T / 220B. Epoch carries 1.8T at 'Likely' confidence and quotes both variants. Independent check: 6 x 2.8e11 x 1.3e13 tokens = 2.2e25 FLOP, matching Epoch's ~2.1e25 training-compute entry, so the leak is self-consistent with independently estimated compute. The dataset's 275B sits inside the 220-280B leak spread. No change."
