point_id,ai_cost_usd,ai_cost_basis,ai_cost_date,human_cost_usd,human_cost_basis,evidence
perc-imagenet-gpt4o,,not_available,,,not_available,"Text positions are an assumed allowance (4 chars/token, assumed schema and instruction shares); no usage counters exist."
reas-cf-o3,,not_available,,,not_available,"Early internal o3 Codeforces checkpoint, never sold; the 20.9M positions are a first-principles allowance, not usage counters."
resnet50_imagenet_10crop,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
resnet152_imagenet_10crop,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
whisper_tiny_en_clean30s,,not_available,,,not_available,"Whisper checkpoints run locally for an operation count. The OpenAI Whisper API exists but bills per audio minute (0.006 USD/min), not per token, so no per-token list price applies and the source states no dollar amount."
whisper_large_v2_clean30s,,not_available,,,not_available,"Whisper checkpoints run locally for an operation count. The OpenAI Whisper API exists but bills per audio minute (0.006 USD/min), not per token, so no per-token list price applies and the source states no dollar amount."
robo-100m-cassie,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
robo-cabinet-aloha,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
robo-shrimp-aloha,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
robo-drone-swift,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
robo-grasp-dexnet,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
perc-lipread-lipnet,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
sci-cryoem-model-build,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
robo-terrain-anymal,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
sci-crystal-stability-gnome,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
robo-cube-dactyl,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
robo-pick-rt2,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
robo-package-helix,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
sci-retrosynth-llm,,not_available,,,not_available,"Open-weight research checkpoint the source ran itself; list-prices.csv carries it as self_hosted, with no published per-token rate."
sci-virology-vct-o3,,not_available,,,not_available,"VCT publishes no token logs for its o3 run; the 4,550 tokens are an explicit first-principles allowance, so any dollar figure would be estimated. Human: the paper's 5 USD/question is the non-expert vetting fee, not the expert baselining population."
robo-shirt-pi0,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
ora-mnist-c-recognition,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
perc-cxr-chexnet,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
robo-binpick,,not_available,,,not_available,"Robotics policy or control system, never API-served; list-prices.csv carries it as not_api_served. No dollar figure in the source."
memo-book-needle-llama-128k,,not_available,,,not_available,"Analytic 405B workload reconstruction for a self-run evaluation; no usage counters, no named host, no dollar figure in the source."
memo-nolima-llama-32k,,not_available,,,not_available,"Analytic 405B workload reconstruction for a self-run evaluation; no usage counters, no named host, no dollar figure in the source."
writing-gec-peet-conll14,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
writing-gec-peet-bea19,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
sci-chip-floorplan-ariane-2022,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
perc-faceverif-facenet,,not_available,,,not_available,Operation-count row on a research/in-product model never sold through a per-token API; list-prices.csv carries it as not_api_served.
