point_id,ai_cost_usd,ai_cost_basis,ai_cost_date,human_cost_usd,human_cost_basis,evidence
16x-clean-markdown-opus4,0.040155,list_price,2025-07-17,,not_available,"16x Eval public export retains the run's own input and output counters (687 in; 374 Sonnet / 398 Opus out), reasoning zero, Anthropic provider, run dated 2025-07-17. One recorded response, matching the row's unit. Priced 687 in + 398 out tokens at 15.0/75.0 USD per Mtok."
16x-clean-markdown-sonnet4,0.007671,list_price,2025-07-17,,not_available,"16x Eval public export retains the run's own input and output counters (687 in; 374 Sonnet / 398 Opus out), reasoning zero, Anthropic provider, run dated 2025-07-17. One recorded response, matching the row's unit. Priced 687 in + 374 out tokens at 3.0/15.0 USD per Mtok."
act_cup_episode,,not_available,,,not_available,ACT ALOHA imitation policy was never API-served; the row is an operation count for a robot episode. Source reports no payment or price for the human baseline.
act_shoe_episode,,not_available,,,not_available,ACT ALOHA imitation policy was never API-served; the row is an operation count for a robot episode. Source reports no payment or price for the human baseline.
admin-taxcalc2024-hoh-box12-flash,,not_available,,,not_available,"TaxCalcBench saves only response content: provider usage, cache counters and timestamps were not retained, and the token counts are a cl100k proxy, so no observed cost exists. Source reports no payment or price for the human baseline."
admin-taxcalc2024-hoh-box12-sonnet4,,not_available,,,not_available,"TaxCalcBench saves only response content: provider usage, cache counters and timestamps were not retained, and the token counts are a cl100k proxy, so no observed cost exists. Source reports no payment or price for the human baseline."
admin-taxcalc2024-single-w2-flash,,not_available,,,not_available,"TaxCalcBench saves only response content: provider usage, cache counters and timestamps were not retained, and the token counts are a cl100k proxy, so no observed cost exists. Source reports no payment or price for the human baseline."
admin-taxcalc2024-single-w2-sonnet4,,not_available,,,not_available,"TaxCalcBench saves only response content: provider usage, cache counters and timestamps were not retained, and the token counts are a cl100k proxy, so no observed cost exists. Source reports no payment or price for the human baseline."
agen-codexfer-codellama34b,,not_available,,,not_available,Fine-tuning run on self-hosted open weights; no per-token price applies and the source reports no training dollar cost. Source reports no payment or price for the human baseline.
agen-codexfer-codellama7b,,not_available,,,not_available,Fine-tuning run on self-hosted open weights; no per-token price applies and the source reports no training dollar cost. Source reports no payment or price for the human baseline.
agen-codexfer-codex12b,,not_available,,,not_available,"2021 Codex research models were never separately priced, and the row is a fine-tuning run rather than API inference. Source reports no payment or price for the human baseline."
agen-codexfer-codex2p5b,,not_available,,,not_available,"2021 Codex research models were never separately priced, and the row is a fine-tuning run rather than API inference. Source reports no payment or price for the human baseline."
agen-codexfer-codex300m,,not_available,,,not_available,"2021 Codex research models were never separately priced, and the row is a fine-tuning run rather than API inference. Source reports no payment or price for the human baseline."
agen-codexfer-kotlin7b,,not_available,,,not_available,Fine-tuning run on self-hosted open weights; no per-token price applies and the source reports no training dollar cost. Source reports no payment or price for the human baseline.
agen-codexfer-mplt-ocaml15b,,not_available,,,not_available,Fine-tuning run on self-hosted open weights; no per-token price applies and the source reports no training dollar cost. Source reports no payment or price for the human baseline.
agen-codexfer-mplt-ocaml1b,,not_available,,,not_available,Fine-tuning run on self-hosted open weights; no per-token price applies and the source reports no training dollar cost. Source reports no payment or price for the human baseline.
agen-codexfer-mplt-racket15b,,not_available,,,not_available,Fine-tuning run on self-hosted open weights; no per-token price applies and the source reports no training dollar cost. Source reports no payment or price for the human baseline.
agen-epoch-swebench-dsv4promax,0.402895,list_price,2026-06-18,,not_available,"Epoch Inspect log, run 2026-06-18; summed sample usage in 93,494,654@1.32 +cacheread 775,633,408@0.044 +out 9,358,007@3.96 per M (deepseek sheet 2026-04-24); total $194.60 / 483 completed samples. Graders excluded. Observed usage only: the row's compute adds an estimated missing-work allowance of 0.3% that this cost excludes. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gemini25pro,0.941689,list_price,2026-02-13,,not_available,"Epoch Inspect log, run 2026-02-13; summed sample usage in 204,918,479@1.25 +cacheread 468,817,032@0.125 +out 14,008,562@10.0 per M (google sheet 2025-04-04); total $454.84 / 483 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gemini31pro-ct,1.9573,list_price,2026-02-24,,not_available,"Epoch Inspect log, run 2026-02-24; summed sample usage in 125,150,299@2.0 +cacheread 1,039,853,655@0.2 +out 40,754,962@12.0 per M (google sheet 2026-02-19); total $947.33 / 484 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gemini35flash,0.703281,list_price,2026-06-01,,not_available,"Epoch Inspect log, run 2026-06-01; summed sample usage in 137,691,740@1.5 +cacheread 438,116,660@0.15 +out 7,570,316@9.0 per M (google sheet 2026-05-19); total $340.39 / 484 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gemini3flash,0.279015,list_price,2026-02-19,,not_available,"Epoch Inspect log, run 2026-02-19; summed sample usage in 140,025,605@0.5 +cacheread 446,939,896@0.05 +out 14,227,761@3.0 per M (google sheet 2025-12-17); total $135.04 / 484 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-gemini3pro,1.35628,list_price,2026-02-13,,not_available,"Epoch Inspect log, run 2026-02-13; summed sample usage in 118,078,799@2.0 +cacheread 1,458,153,901@0.2 +out 10,720,854@12.0 per M (google sheet 2025-11-18); total $656.44 / 484 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
agen-epoch-swebench-glm5,0.699625,list_price,2026-02-16,,not_available,"Epoch Inspect log, run 2026-02-16; summed sample usage in 89,745,337@1.0 +cacheread 975,887,936@0.2 +out 11,969,879@3.2 per M (zai sheet 2026-02-11); total $323.23 / 462 completed samples. Graders excluded. HUMAN: Human effort comes from OpenAI's SWE-bench Verified difficulty-bin estimates; no payment for resolving an issue is stated, and the annotators' pay was for labelling, not for the row's unit."
